
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
13.11	0.0	-275.47064845900985	-173.124192077685	-512.7868251794675	-732.6555091834903	-1029.6158237988725	-1324.703571614701	-1631.686568124213	-1982.2913966536398	-2292.933868992173	-2549.3158844309733	-2841.801466619364	-3137.812208262218	-3419.8396367320565	-3766.763000121666	-4068.4811525047426	-4381.781269421657	-4659.893968281653	-4977.446600554467	-5257.519364712542	-5536.5586238479345	-5865.8265359592415	-6130.293618638264	-6440.013699649665	-6783.605203374051	-7080.8972218766	-7361.274442931566	-7611.583221134445	-7930.601018435013	-8243.81317938021	-8555.606356620397	-8858.214508428182	-9210.194709863705	-9495.416887563064	-9805.487657568256	-10174.88657614038	-10728.27439947749	-11097.590086842754	-11400.0	-11700.0
13.12	0.0	-276.9646476302296	-178.22719404250665	-489.53584656605614	-749.9143362155249	-993.405484182346	-1328.0583053224548	-1609.6798593403014	-1935.4622410196519	-2275.327204710806	-2519.8833344217314	-2892.3676107073197	-3157.7400205827835	-3406.410533986229	-3781.247044206751	-4045.1346509579994	-4372.768046748024	-4651.595957181413	-4946.13017556172	-5262.345632922156	-5526.3860620870155	-5848.01872191481	-6195.292106865038	-6496.8897858866285	-6749.9839223972585	-7104.584564139238	-7365.1647208027	-7636.187376207848	-7955.617115476737	-8278.245580029554	-8550.003117202608	-8833.394590103475	-9168.884267395455	-9498.654901284737	-9778.499782069357	-10170.364117257008	-10728.04819305663	-11097.609054925535	-11400.0	-11700.0
13.13	0.0	-273.57172551241	-182.73402078584735	-469.45818759518073	-741.0851442028979	-926.8935730608019	-1270.3210912492132	-1627.8452913987492	-1956.3617659591846	-2224.312067492875	-2558.7482317426384	-2858.304190571493	-3128.2757880941526	-3442.129009433509	-3739.1717588724478	-4081.929065220037	-4380.002645325164	-4668.632299423162	-4933.165835240802	-5281.543614329144	-5541.958780232653	-5887.399857431832	-6172.16555880272	-6506.176423355135	-6767.455041851719	-7104.5919759070075	-7352.836130625182	-7657.123892363253	-7976.863678193038	-8240.705258998401	-8537.151968081469	-8865.433823085674	-9161.459406150101	-9498.026073890876	-9809.323965367877	-10145.65654005043	-10724.2895987362	-11098.43909479259	-11400.0	-11700.0
13.14	0.0	-276.9542296503503	-194.0584102425384	-462.9108814208753	-714.51921644157	-977.7962339371986	-1310.0790064442544	-1699.9112328145623	-1965.6720658885026	-2291.385188495034	-2559.638689094553	-2867.680324672006	-3166.901060069817	-3454.1286402425685	-3777.437590865516	-4066.0662960651625	-4392.989607294841	-4662.053207934894	-4987.777685524476	-5297.965199714921	-5576.207419810456	-5840.324872680234	-6153.576458299173	-6490.400059291873	-6763.4283651652195	-7096.783892670533	-7340.581989443066	-7624.295509765791	-7924.515774139985	-8243.559037844809	-8552.229613525404	-8879.60069452881	-9219.161659620357	-9548.732946798782	-9764.144848464364	-10193.529792431757	-10711.867175983018	-11097.376034340152	-11400.0	-11700.0
13.15	0.0	-252.79580361317147	-153.75246285514822	-481.73235077233875	-749.6341840638576	-1011.0005854573939	-1305.0517759156535	-1631.0062997268537	-1937.4128339403992	-2256.200053360005	-2615.5584143247816	-2867.3748077908176	-3153.9362401796193	-3455.254998440447	-3748.2913066776623	-4062.8259612141806	-4352.936082359895	-4681.7234454530735	-4948.288694221743	-5279.977947630502	-5567.079308481541	-5881.572807917005	-6178.057331995911	-6458.140946706393	-6823.512391750217	-7049.021540724661	-7336.3511235942515	-7622.459628748736	-7920.4836437032	-8258.6104720524	-8554.877864372518	-8880.047207552707	-9132.591138582293	-9501.70884522629	-9819.098504810108	-10154.109362554827	-10703.605911113513	-11094.388523068536	-11400.0	-11700.0
13.16	0.0	-253.25375593503142	-186.02273338446048	-496.21413607385165	-731.5746991780753	-935.6904647128073	-1311.7002817395055	-1613.9339592311558	-1967.1728942509249	-2257.3567466996114	-2565.4604504592958	-2829.559481479456	-3146.2149801121013	-3460.5020725957106	-3748.3409507244883	-4065.351167543764	-4416.833931092432	-4664.927081632795	-5020.195124783043	-5283.856641936007	-5573.060289963244	-5892.012548339383	-6186.992166644012	-6493.910149240877	-6774.307413400594	-7103.1154173365385	-7326.859111973269	-7670.967926856071	-7944.13792693273	-8221.092770745134	-8530.622140163148	-8824.246619144531	-9159.90401993162	-9497.552166729802	-9807.237776174972	-10168.95727473022	-10719.154210907967	-11097.24401242217	-11400.0	-11700.0
13.17	0.0	-256.47026872085723	-237.86518923347143	-516.794086987114	-773.1882236806983	-990.9952598999034	-1295.9068861881685	-1619.234088651821	-1900.205305275367	-2309.585315475692	-2588.4246947419924	-2832.1770490476492	-3145.7144827055345	-3400.7171851423027	-3789.4469989118606	-4042.7758865889873	-4372.138325805591	-4702.030343956831	-4954.777321595897	-5259.016717900233	-5610.239232755868	-5895.422157974449	-6136.414591407525	-6504.4425734484175	-6765.149838549134	-7081.943518768497	-7348.672147137134	-7656.280691116542	-7959.161346937975	-8282.276658922035	-8523.938631516921	-8869.119599692247	-9174.960085967292	-9468.756775430844	-9845.803954905981	-10153.89604254015	-10717.30257148319	-11096.47383074017	-11400.0	-11700.0
13.18	0.0	-263.57128127631444	-190.15094295118297	-471.62023517990343	-735.2184115502523	-976.5386865390103	-1262.2689648645282	-1611.2864484227387	-1957.1416450060665	-2292.088894928649	-2559.785298587142	-2868.551863327564	-3123.658104087096	-3436.5695016793998	-3737.0881723239636	-4064.840619244317	-4375.032136402061	-4642.620510980879	-4945.895270334278	-5241.032678264562	-5565.523014040561	-5886.404431832675	-6170.994325424412	-6501.543106045763	-6794.735820030877	-7082.949127203722	-7325.9420334438955	-7650.550150470794	-7968.995674868928	-8286.552173031407	-8547.251474585775	-8872.488231279945	-9185.639002349073	-9475.752542209932	-9824.922293726837	-10189.617575912365	-10722.014086017904	-11092.57494973432	-11400.0	-11700.0
13.19	0.0	-255.9307612894103	-182.61177061241614	-466.328241616723	-777.6202629018876	-999.9869731287596	-1292.8232444969601	-1643.5700500017836	-1983.14365757644	-2278.188904154933	-2580.4909869672915	-2884.4457158397695	-3128.814789118393	-3405.75778574441	-3754.3310587807714	-4055.9800074359528	-4348.162934308738	-4625.697848238953	-4941.6491159072375	-5268.727471619685	-5573.150582081172	-5870.733021861684	-6153.802305502499	-6531.699038364418	-6791.609132396156	-7081.522922034761	-7344.62224090289	-7637.995189694659	-7965.927005448792	-8236.924473210987	-8559.574153601048	-8890.825120703466	-9176.478258147841	-9523.50867559416	-9830.809221864627	-10184.509277381183	-10714.536102830167	-11095.18419610171	-11400.0	-11700.0
13.2	0.0	-260.54029317447475	-203.52450992452316	-484.52781994222937	-730.8481643178568	-994.7691200942218	-1246.253412692579	-1626.8490544353458	-1934.5782703131408	-2206.8136439606888	-2592.5900171331614	-2849.751970752453	-3142.735072880649	-3426.2784926589306	-3721.379830031662	-4010.9738353484736	-4333.904757176882	-4653.409613904125	-4973.310607911849	-5247.061156759152	-5550.802886823135	-5863.966965577975	-6171.735688182562	-6489.647530501158	-6795.096510524684	-7076.434335211646	-7340.439364424143	-7642.560370018675	-7966.727123871491	-8250.459156823194	-8508.826804312856	-8849.88037235371	-9162.083747019826	-9486.998194394855	-9795.48176484955	-10169.841400607897	-10707.455466676338	-11098.002474640838	-11400.0	-11700.0
13.21	0.0	-251.5857068743232	-200.45821850985493	-479.70108792603514	-737.7342550999343	-1038.3670146652962	-1242.0373044563185	-1634.998736743069	-1976.6613570699233	-2245.7476041208783	-2518.3630670377293	-2848.3137741768505	-3119.331025268558	-3424.6402364036717	-3725.178005724911	-4024.8255469112114	-4325.0658036332625	-4648.135990539777	-4961.020798102028	-5280.5415765605285	-5592.436696333869	-5868.47893222043	-6200.293371336746	-6528.174640353021	-6813.920213026013	-7074.828435792592	-7333.72300997469	-7670.011279322807	-7970.855649296962	-8244.758102844997	-8571.107314221837	-8845.649391541825	-9199.154387682609	-9523.059097046591	-9842.347011327369	-10133.055369181538	-10714.253640842295	-11090.791661308647	-11400.0	-11700.0
13.22	0.0	-250.68452056678427	-181.30338334849483	-475.83674574230747	-740.7294620457357	-965.5536248567853	-1268.3248334387968	-1634.5317728533914	-1976.649491071993	-2262.216447556335	-2529.032519497213	-2835.058495067319	-3165.7568666246857	-3467.046054540261	-3767.2680004627787	-4053.0058065497105	-4361.117941964935	-4656.697767313787	-4994.349700082778	-5293.353992147566	-5601.053948575104	-5845.96006199908	-6207.816619267622	-6536.766973145708	-6808.24514120117	-7031.022910808332	-7305.841521204951	-7635.799827535895	-7976.233045696705	-8249.507480019045	-8559.608320952388	-8875.120972744067	-9178.855988553005	-9498.570873692934	-9813.69528112505	-10160.14195576161	-10714.692708458993	-11095.265666612897	-11400.0	-11700.0
13.23	0.0	-253.58949383736865	-191.31772894086726	-480.16416399421223	-771.7145111610614	-949.0030454835631	-1292.0545099667424	-1605.2322114369329	-1950.6242796775323	-2237.227765598624	-2536.2467186719277	-2889.575027705314	-3114.6855698051304	-3442.230651290449	-3732.4884867220317	-4046.5231695046123	-4378.038313981694	-4687.529590499611	-4989.640104467579	-5270.602620009364	-5548.555433680557	-5875.775528876992	-6203.897129146526	-6490.234971500424	-6792.664513089582	-7071.113565287711	-7339.473559431881	-7653.053221940287	-7961.102979511432	-8292.140238769989	-8562.53198597562	-8830.096083630431	-9185.027107690757	-9491.133386264391	-9831.594774991892	-10168.445981499382	-10713.449896790984	-11092.834908523999	-11400.0	-11700.0
13.24	0.0	-252.6521086063264	-183.88345704997818	-480.4073339721348	-734.633562957993	-1020.1051965751451	-1256.5418707720314	-1600.7640697443271	-1916.7798336569128	-2245.6426021341013	-2567.1608396360934	-2860.6304763860367	-3151.777648546507	-3421.3415666531614	-3739.582901104259	-4047.8929250323395	-4359.824631552565	-4679.633741070087	-4983.173374460123	-5262.952365648338	-5566.5282480448595	-5892.457740847614	-6172.203186992102	-6508.661847175032	-6788.47730854917	-7089.13059111697	-7341.407818690576	-7668.199174818563	-7956.246945100323	-8259.418723979808	-8571.081784676151	-8900.952648633694	-9235.171243207258	-9491.560005874791	-9796.939715821665	-10162.262609257932	-10711.858491118288	-11096.52608870221	-11400.0	-11700.0
13.25	0.0	-232.49842988812338	-172.15869095443497	-495.13974228887884	-742.1538961733581	-1024.545614403815	-1310.116297726068	-1636.9117828445176	-1924.7311464906606	-2277.4348513799564	-2590.3804104816204	-2865.4598527317953	-3130.8007093611986	-3388.6028324527992	-3682.738605267614	-4041.884841095092	-4312.8742047151645	-4671.587341855878	-4948.038307733695	-5220.06163596251	-5576.585164649659	-5887.1161842876145	-6165.4428982242825	-6525.137909091682	-6803.039411712547	-7064.327819359889	-7352.688726293733	-7594.99110671398	-7985.808468816393	-8243.442300974259	-8524.698991165431	-8874.264625321823	-9194.74616369907	-9479.704681256619	-9793.058764210546	-10151.567461587108	-10698.112640926794	-11094.323134386777	-11400.0	-11700.0
13.26	0.0	-229.8992655921229	-214.56458495975335	-444.4326978584929	-745.0235120850996	-1050.4759484139852	-1279.3332148953532	-1580.5509210452267	-1941.3427813279113	-2249.2723855337968	-2587.729997168585	-2846.098765194344	-3131.857891233896	-3413.720120734686	-3733.53130480127	-4025.6722065187664	-4341.873580127691	-4651.118313567414	-5000.975810216721	-5265.820507273025	-5580.182104539279	-5884.009006062548	-6169.927678482195	-6486.494502864535	-6792.843788974831	-7067.408989996267	-7335.920538986669	-7621.960370101443	-7992.6488131491715	-8252.77964314866	-8554.154070269078	-8883.607941340404	-9187.73813267378	-9482.528264225286	-9764.94964812529	-10138.573283224732	-10695.18457637333	-11090.781068706625	-11400.0	-11700.0
13.27	0.0	-237.43354458916383	-230.4978846008172	-456.79987847315675	-748.4405141494761	-993.5733421781091	-1296.679262937366	-1611.3652773168847	-1988.1653228257658	-2250.717703787265	-2593.612956190982	-2845.395525897015	-3155.612714626158	-3441.5205710967084	-3766.4847119871133	-4070.880524768959	-4373.333573335944	-4690.894577376759	-5004.972017237583	-5260.317277514602	-5563.176753981142	-5861.20476362486	-6156.216668182006	-6530.490890094694	-6803.5162323293725	-7067.674148627425	-7342.603328385595	-7645.503306548739	-7948.815034705979	-8290.550672778669	-8567.572444890111	-8850.650896066032	-9139.290986902854	-9495.29432911302	-9800.969865731407	-10162.655782851549	-10701.655782447404	-11094.700081674428	-11400.0	-11700.0
13.28	0.0	-247.14601057148155	-203.43201060890084	-466.2636343564929	-784.0917460010801	-1023.2761954306503	-1286.9572694335334	-1593.4089657033483	-1942.8325145790293	-2290.5155663020623	-2604.7616594166193	-2858.6229100473843	-3174.503429239988	-3465.2570905998195	-3750.9561978907645	-4041.5253505189553	-4347.806990721585	-4673.546589395696	-4983.19798232069	-5323.839084914437	-5553.91282620136	-5897.834210126237	-6178.775151172651	-6485.291817698699	-6801.927829375537	-7045.438172346656	-7340.213005183464	-7674.342653136938	-7963.094891309959	-8283.702206210784	-8562.476715423538	-8894.129244935159	-9157.901370907137	-9508.230999320576	-9818.823672821762	-10143.277137639216	-10715.920171595691	-11096.32362449613	-11400.0	-11700.0
13.29	0.0	-229.955163023334	-166.31629011098903	-490.38111677776067	-730.5564465420109	-1049.5257887298314	-1279.5881659400536	-1555.8128055775128	-1919.0011525526438	-2285.0414454252154	-2583.4768300883234	-2812.730651928924	-3159.9344582562644	-3452.959156934272	-3727.817419481444	-4038.6619217083376	-4371.99585904642	-4664.393226855404	-4981.8674382505	-5245.749418244324	-5576.1689683966415	-5882.105177528402	-6222.914599300164	-6493.617975592121	-6810.295183061441	-7076.073545518733	-7326.812620732236	-7662.382282728494	-7929.891962761895	-8246.505019397046	-8570.977588005926	-8879.565494670198	-9202.3027452824	-9452.842465112104	-9805.163472354308	-10183.433205331356	-10714.684874399194	-11098.994772449885	-11400.0	-11700.0
13.3	0.0	-227.9428140434867	-194.7899283799216	-500.62699730282577	-757.2080103483876	-994.5565314928622	-1295.6116362129062	-1573.702240384635	-1919.1819211988966	-2282.672211490657	-2587.1630223262737	-2836.4426637334254	-3161.1170042661247	-3442.5330901144093	-3723.1360179744142	-4036.2893859660217	-4353.6605538444255	-4708.970162025514	-4957.775696094719	-5265.22929995973	-5548.770590687783	-5914.667155116694	-6236.670584218504	-6500.447677497713	-6780.805495241581	-7028.178622136604	-7308.027103345822	-7682.265620183808	-8031.549156027228	-8291.780078810352	-8552.502118476137	-8896.263223035723	-9211.885301848188	-9512.481047025918	-9812.35635883177	-10153.651656937729	-10701.253621618265	-11098.48757932122	-11400.0	-11700.0
13.31	0.0	-217.67252341035658	-215.38306406066266	-481.3607205584243	-744.8787910441763	-1006.4311983680725	-1278.915006122963	-1603.1432371548665	-1929.3821883146686	-2264.4878288503373	-2562.7142360504945	-2871.046233267618	-3168.3580334445132	-3395.971518227775	-3706.191640789889	-4051.2834980429707	-4372.099733733804	-4652.585154486843	-4923.608188488834	-5273.294516397748	-5567.076253739956	-5847.5752203181355	-6182.792819844526	-6469.047502725485	-6799.969853903769	-7051.9261692957	-7349.450292177342	-7667.489413965177	-7984.908450386053	-8272.513084796195	-8567.442886163948	-8878.370079232283	-9184.111909627814	-9526.110531663951	-9819.44467759065	-10172.302840917895	-10684.902395817893	-11093.150496662918	-11400.0	-11700.0
13.32	0.0	-223.5850162152422	-191.99346887792547	-509.90958975445056	-759.7617095459708	-1050.1297858355997	-1282.0169927546685	-1560.2240136684666	-1942.8248500162285	-2199.2561130499626	-2543.375945176691	-2824.8053553615323	-3147.874004116387	-3399.9705994677006	-3701.0982266651145	-4063.2024415326923	-4356.174251628421	-4669.852273258569	-4971.669120585336	-5294.772970588618	-5552.163396427496	-5874.826361066959	-6206.990374631943	-6502.546755393916	-6791.199272848145	-7008.707912539551	-7341.081300425956	-7662.055811838598	-7995.5909716284095	-8302.429301745988	-8577.488499726867	-8877.247112998666	-9202.460884489221	-9484.15303448301	-9778.15726349496	-10147.108907025897	-10687.899797640204	-11096.625043020958	-11400.0	-11700.0
13.33	0.0	-231.76920807502302	-221.5984181258358	-504.4093455399796	-749.5417371303608	-1020.4338348830729	-1309.9246804766244	-1568.0663688640425	-1921.3586366713164	-2271.3467632714846	-2556.4725692842358	-2842.215756624708	-3166.183587056359	-3430.636377389492	-3744.862276463645	-4009.122893499699	-4352.758894941044	-4664.272628804131	-4995.770146629776	-5214.70026247085	-5542.291186165984	-5903.104061037383	-6146.034228914289	-6488.67457862227	-6790.585878795602	-7072.5780293471735	-7292.349104521295	-7632.551012314036	-7982.871339402952	-8253.902259443521	-8594.140809570557	-8879.146700397536	-9201.29340420994	-9502.626068338805	-9803.076341431439	-10143.320630380913	-10704.488276159724	-11095.773506386378	-11400.0	-11700.0
13.34	0.0	-242.10326635192794	-164.55486401348037	-476.31471184195954	-736.6398535151076	-1050.7631504417404	-1322.0751586743186	-1554.9129656209948	-1920.0717186988481	-2267.6330666838744	-2553.6026685168795	-2879.660690122846	-3163.8673950893017	-3421.008832089193	-3729.1550732671462	-4069.500795553425	-4386.006153094461	-4711.548175697199	-4998.631058941109	-5283.443943415158	-5577.841735483151	-5850.549657806991	-6188.953120779256	-6502.312079249218	-6831.625572994716	-7054.433095789898	-7333.275226062458	-7641.915497775334	-7988.226606151154	-8254.607001794333	-8567.489573464683	-8898.835929933784	-9213.13627175774	-9485.044197281639	-9821.831493323803	-10179.73788340647	-10691.986808782916	-11090.35362820336	-11400.0	-11700.0
13.35	0.0	-232.4923138840104	-199.91462685650754	-433.63839815868533	-732.4799784797584	-1050.88156596722	-1322.8853599068134	-1544.4455184921271	-1920.433531148219	-2281.6615470825777	-2552.4280123395015	-2821.244648864087	-3135.2559497945385	-3420.9963958550725	-3756.073552046522	-4050.8327536251372	-4339.591119252174	-4659.587907791182	-4972.033956097808	-5250.827418018576	-5575.023308407425	-5876.230641338994	-6164.676670157988	-6479.9450940668785	-6756.690502857413	-7037.357856860316	-7303.564978535543	-7632.562967921656	-8016.580604391707	-8271.650885073495	-8554.898295205741	-8879.186928213992	-9183.800220994863	-9504.896556077963	-9837.905020411741	-10181.449486152951	-10661.65096131069	-11092.957855724895	-11399.55641810216	-11700.0
13.36	0.0	-224.59255392262605	-200.86571786689063	-471.9571196006489	-772.7429882115341	-1023.805751942527	-1295.7047077948964	-1526.1735151030452	-1873.696765789633	-2253.494895071164	-2582.460043223349	-2870.1958449926783	-3157.9227985764887	-3412.21842959873	-3737.9776209689603	-4037.9783749620187	-4357.490743798808	-4652.71617758465	-4972.117892987632	-5299.229101294843	-5553.5876773681675	-5862.967421780779	-6211.701035660426	-6500.244730932567	-6774.235478596561	-7045.241264564019	-7313.327225526493	-7675.681558469123	-7977.743887078391	-8240.343904471949	-8576.490484421876	-8919.28635007849	-9230.298804058315	-9512.191923480685	-9784.106703133191	-10179.042414334917	-10690.99100525783	-11094.629549470776	-11398.808258954257	-11700.0
13.37	0.0	-209.95343017868092	-185.58559382128152	-491.5184957184402	-714.46158678589	-1035.5369364357684	-1295.036761524115	-1556.6015028664901	-1890.9464677760245	-2225.1013457483527	-2576.303102025762	-2839.747953846249	-3146.73006692277	-3440.9418212187284	-3707.943608816224	-4038.552882917542	-4364.549372414559	-4690.26027365083	-4951.076721033462	-5259.5163978340315	-5560.301507879407	-5873.50330418596	-6188.159136441366	-6484.413472322386	-6782.723845373337	-7077.149607223714	-7342.347508443798	-7647.630738490521	-7985.822088821463	-8251.807450603941	-8574.566728394544	-8864.38377560956	-9206.20493353323	-9512.408256107003	-9817.153709653117	-10179.001428080119	-10688.769240895044	-11094.14351424541	-11399.550085799161	-11700.0
13.38	0.0	-216.8113898272699	-207.70973872063024	-464.9289334521667	-739.2610964628509	-1047.1403797010535	-1330.3287994293323	-1566.4596793410915	-1909.5022739946567	-2203.0315624565296	-2553.0844360337987	-2899.001482622366	-3121.204568303916	-3403.172015915551	-3735.949818869688	-4042.5524379578665	-4387.858194192938	-4662.322470750005	-4929.269660571611	-5244.9144825316425	-5566.122293199269	-5896.626642629303	-6191.391251387189	-6516.182963870676	-6780.648542267151	-7029.314350356652	-7316.087812273774	-7659.711825839617	-7988.505247275129	-8258.14365046245	-8546.624887036834	-8887.441440093227	-9187.518489039965	-9555.538375896853	-9806.153154513977	-10151.905985363583	-10666.526988379845	-11095.78323951139	-11399.894676831664	-11700.0
13.39	0.0	-228.9345885261833	-266.06557127643987	-464.0097480945695	-745.3345580125872	-1024.7787485744245	-1323.281602703699	-1537.2341752780849	-1876.1801407190803	-2264.800691772821	-2545.081112263026	-2846.399691550691	-3122.01218338406	-3418.3905132529594	-3717.426325918111	-4023.4210378923126	-4339.530410132064	-4661.433200033108	-4973.557066515671	-5287.758829117825	-5596.846033750413	-5857.956861361624	-6196.011101542234	-6486.6168467128255	-6775.535877432394	-7012.303198679117	-7327.739695534559	-7646.312485006045	-7972.181621698734	-8265.411029100256	-8562.483649307187	-8876.303023878949	-9198.118518526913	-9485.863314797203	-9822.459675977107	-10140.506317919015	-10681.044698294749	-11091.123938356965	-11399.114351808359	-11700.0
13.4	0.0	-223.18268291389822	-209.01486351277163	-458.3243657605356	-787.5001067550618	-1040.4654358948246	-1298.226288359489	-1546.6714314702463	-1911.6235858014797	-2254.8218336965165	-2539.749001961003	-2856.589315297208	-3105.040834533322	-3460.026462912919	-3753.975326484442	-4071.020497699305	-4351.764077758228	-4653.908319335749	-4938.884929090404	-5252.414818761653	-5587.528034934393	-5828.226561669141	-6217.631098439676	-6450.27140262761	-6760.137316522143	-6988.806992300655	-7316.3219260631195	-7645.564861989485	-7937.6031456895325	-8245.804916673183	-8578.602219719713	-8934.296211434581	-9181.47376578739	-9540.38864986736	-9828.054193898763	-10166.99504032029	-10677.374296185362	-11093.926693659878	-11399.91121507668	-11700.0
13.41	0.0	-213.68568569818171	-196.81049999604488	-468.9931376444072	-762.3839566203633	-1039.9616329872645	-1313.0114114123521	-1541.889811779462	-1877.130910705639	-2212.576377697729	-2534.1291954097014	-2879.8916340358483	-3140.676145314371	-3460.1981037431515	-3722.462818671899	-4047.394354622809	-4375.892568071467	-4687.912301731117	-4985.023329683115	-5288.653559551236	-5592.459285540779	-5936.902233812122	-6140.379946402154	-6474.710003435761	-6762.408471846585	-7038.5212695446035	-7331.227291566267	-7653.257724107904	-7927.226231105292	-8290.59807071743	-8589.604995406971	-8928.227712309232	-9200.350217356012	-9526.904956454735	-9833.701065881825	-10142.162577505254	-10667.093309085314	-11095.01271947758	-11399.802487551999	-11700.0
13.42	0.0	-219.77418156172996	-250.96548521832005	-467.70422557437126	-738.5963897465933	-1057.3731055714063	-1368.6958353434422	-1549.1297197968458	-1894.4818904021167	-2256.789429663321	-2530.3745583638706	-2867.251200697128	-3140.650483969866	-3454.409336246731	-3726.7994874619944	-4060.9782708556136	-4352.344845226227	-4686.896734349752	-4975.821890601611	-5285.649015543374	-5601.869909229598	-5907.614113170686	-6177.469912683176	-6462.9799922506645	-6780.158188514427	-7043.781281534026	-7331.938009377754	-7655.046238199127	-7965.566550496385	-8277.409268912585	-8612.656630581874	-8886.121454596205	-9210.039053885004	-9527.655332117745	-9818.038531499304	-10123.905926830104	-10653.055041054087	-11094.212405663156	-11399.142033904081	-11700.0
13.43	0.0	-240.46445485992797	-243.92189400498364	-494.8754802071676	-767.1614796732516	-1064.310669704243	-1323.9834465782628	-1581.8482807031783	-1878.9882371956078	-2214.636345217492	-2568.704200359208	-2853.4337500481333	-3144.974673330194	-3448.3613025166155	-3742.141309545889	-4046.090491394066	-4350.408437947712	-4711.070306849023	-5020.002152334783	-5277.223624922273	-5578.394435111366	-5887.939423222222	-6209.352714068519	-6543.254537802868	-6782.397214433165	-7000.147298622955	-7329.5941461246775	-7627.277444554828	-7936.888321019808	-8254.414767414197	-8595.212966905745	-8933.68004710088	-9230.229262041274	-9487.65288253753	-9827.946931391341	-10154.157390882088	-10667.31019055359	-11095.362130573172	-11400.0	-11700.0
