
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
12.92	0.0	0.0	356.047768172049	404.2320947453834	514.4176063866325	476.3415221712128	452.3494523081029	399.8517372979642	432.01474547918804	449.13539301131476	396.04023213202856	439.397564363199	419.6720162266789	446.3359770190662	421.5416695187292	428.29865767915686	443.4337930113184	482.29298661535097	432.80493837734303	405.06175351411093	347.08212553221915	424.268009028193	427.0199234037019	386.9408038118438	427.65799100883027	399.88551511170095	387.38469527175664	429.0944622545006	509.32237930834145	489.45991108167874	436.35600747928316	403.98961324259403	419.26091043233964	356.15474172326776	390.1501854987781	322.65290574005115	49.9108916036452	6.380483820523388	0.0	0.0
12.93	0.0	0.0	381.91122685765185	450.5644971224231	464.6751440200261	468.21344484603935	454.0480493222891	395.0480218932391	407.18306176080443	397.7622950467531	385.3165052091403	392.25402869517063	472.95606221827813	451.58123328416406	430.5573458958929	433.71846376834776	431.8958552267999	439.2378135791191	481.54758461096446	407.9103421057327	396.67079045264427	360.94669584725915	386.6153491099303	441.7970785419712	423.4099094896245	407.5168317785554	398.2382723869835	457.26095071388715	488.8722962149425	491.7768265669186	397.06672105720406	439.18532631696803	403.493226219593	400.8964521380192	382.9519532573609	304.1678157259136	46.819314212971996	2.445527484636476	0.0	0.0
12.94	0.0	0.0	373.38089253305674	453.2272441608675	536.0998291577449	483.1807094829842	470.61564529642385	399.0632528300443	385.68742112836816	373.9504682949993	387.3058686347559	348.0385371362452	465.66378785320745	460.1188745621129	464.02041832426306	422.4381123465223	454.5513764359176	455.4149549323108	416.41884904080945	377.8452455112157	390.20633867501226	446.9508986949173	392.8672271825666	432.74125186890103	432.7459554259907	449.4996383630132	408.5512488113577	465.6616594148025	445.87829938162736	448.5276496213513	420.8460182621586	485.8981488801575	432.5097288177579	383.1280127643933	377.9178794528164	251.33132748747784	41.492302442847844	3.9710603422068824	0.0	0.0
12.95	0.0	0.0	397.71424106918096	444.6024969822544	466.6831730167352	507.67579955640423	448.7401523191663	398.88980835018464	378.26833971986287	404.6573748503773	425.8400596375813	433.04424536396147	440.69364229252716	485.2937401467233	441.7950888338263	427.1290804660352	473.43784013154993	467.3677332420432	447.84617370726903	407.8114036368312	406.913524508372	417.6184835276637	417.32075127925606	422.79423958259	430.86933230370016	410.04241935566455	404.1263596958061	461.6804634495303	481.8144775913265	451.63823650396887	442.33356732454354	486.1145331857352	431.4662345182755	382.73640477175337	394.1562673191962	295.3249623258215	55.55042173328819	2.627321993844039	0.0	0.0
12.96	0.0	0.0	395.7875407776493	443.0069567817694	497.69207549585644	492.41337958049957	442.9253838037695	418.63543117488615	392.1370409581271	405.4954904710047	422.16579924133606	465.98763531032114	464.63317387608294	457.7223083378622	442.4287295071546	435.94481419928763	428.08471229661524	460.501477449938	429.8861580300961	403.70282943798577	455.6429797487489	465.5636797491659	413.65111421727966	402.3512052338935	405.2786820375804	413.60328439682564	471.0777038807053	494.42778340212465	459.16930614249947	397.73579886826775	431.91561791129413	431.37717406674346	453.17850944121625	391.2926599545368	378.71947998470296	314.2325481725687	42.67963305415059	0.6311744086556279	0.0	0.0
12.97	0.0	0.0	434.47907254094446	426.9292103566171	490.4153349318607	441.675341281682	435.8027199887642	393.3331764753769	385.64672700236093	452.93497141499495	440.2891359870329	452.1943452732967	442.5484690019962	451.8881449940482	414.2029919092332	435.7358924513788	425.41357822604544	447.24474869093046	466.43242818200514	419.1905705328173	453.1671413323329	415.670620344985	444.53862297639847	440.0548290675607	426.8606692717641	426.14972180762544	433.0529564559271	501.8942977100149	431.11968011064766	457.28899351415015	480.8681203125533	416.7804969729901	351.5421700058115	364.97883925790853	365.8947457594802	313.4410294564452	54.604365414596	0.0	0.0	0.0
12.98	0.0	0.0	364.9148208888628	470.3483830296777	456.2542516071127	508.41325082083273	420.69341577398336	395.6084997154019	392.6176869925846	456.73742783321944	431.1053501959803	443.2296144213784	457.69470459942346	432.15955638638115	419.922431737516	401.69307711172	438.7254860310679	418.2709770082496	452.888346253296	435.5119382247605	430.4872350752472	456.22952313182606	411.2940613769274	427.3610565078335	428.5876268750649	428.1654896053273	407.75870064935845	450.65767160878676	468.54459845246083	470.25661455201015	473.7671251512093	435.331187848609	389.84709183343193	390.12614582793117	378.6790609179542	290.8233289402334	42.74833699176266	4.896594450843703	0.0	0.0
12.99	0.0	0.0	371.6025638580223	450.3576359266371	443.56396121117956	497.4279619141989	458.5880133204936	425.4823200394704	408.40407838258784	399.5035608079101	428.270619604712	435.23232679654956	406.87128692893407	455.2131674684694	449.1257601312508	456.5285953646992	442.33734877539734	440.67356151755513	446.62153409910775	429.66815982366035	390.1160476872231	424.06373845835424	448.46795430363443	444.07169605815636	409.48232744345347	420.7622368424738	494.8105941463739	475.0328079570572	447.838048708021	492.93362015730844	429.0910925510694	456.29390152604554	385.22181323546585	390.0941658144252	383.6255374087459	321.2787165141868	56.78810680468443	0.8583988311979531	0.0	0.0
13.0	0.0	0.0	424.4568759709203	475.54574339199377	462.1724072872598	478.280804097283	441.107831195904	432.0956428026576	424.3723275238748	425.3021038062707	421.48182098263544	457.0283362620387	446.97365164741694	439.8613830334005	471.0228618753614	430.037737563137	448.10133835519457	448.2493127850639	405.59303739128745	384.75477690563736	412.91237437259247	420.9893863977095	411.6624214516923	424.7392466028439	405.8107329327554	399.6988309664672	420.52006784727627	509.7244903911669	499.9619794012272	481.81042847230543	433.52506167525326	438.57021858891864	466.29913328424726	431.47663820595056	387.08889715622604	300.5689111907895	72.05986001683364	0.4632640886288751	0.0	0.0
13.01	0.0	0.0	382.5118824157165	426.0865977104571	459.63811290924235	469.0396685348127	511.1758001234379	429.81712599806133	407.3495649696175	423.8820687574547	452.6309693961305	490.10788337805053	456.7377833996892	513.3652386527756	436.4230155743356	435.7047468671681	490.39115916437714	447.7933155865362	472.6538010072552	373.6765063934798	405.5888662090374	491.5268973923205	402.86373487767605	421.44736432095294	382.1251501397406	425.2120813174302	497.4533413617037	496.56497374683426	479.48915500074054	476.96868223515395	453.8646053013158	491.5192594518632	393.87394785067687	428.0031578131751	372.9910300680444	286.4398791488995	52.38463418602911	4.023382335684177	0.0	0.0
13.02	0.0	0.0	420.93334766178566	478.00445254017154	449.6927605849719	488.4776811782332	471.55456974209505	393.9248330845764	382.15148108367725	426.11867121437547	405.724787216919	439.50960131561226	427.4704677531738	415.8855489275869	459.7809265969241	444.7890986148838	450.9615544222726	416.25203774702436	399.5712999524778	412.56083290697046	407.76464756358666	428.54060586703065	448.8889274804762	381.9883350469658	385.3491844256647	401.6964041239557	413.99153126384005	492.63993077333504	473.16938998428606	452.44351798524104	442.0965430155421	487.22859808654084	420.64586470266227	415.49021699486445	365.27271587955903	281.14523526484237	57.377171234170184	1.5955981613387271	0.0	0.0
13.03	0.0	0.0	404.38517340109945	407.71280251918256	433.23699788512243	497.9083406794888	466.39180402639613	414.89653091070227	396.86149042521487	414.64992082381184	437.87158100631353	421.6643508245102	469.29942390263744	496.10299030851235	448.91373412320553	455.66136600604585	402.3650775573936	422.07453311822354	433.44858192191	444.50971720733816	427.37332410071303	440.3479367043822	447.6057523271463	445.57655397976305	386.26554622101645	385.90908222724283	406.38978463339134	481.8261258189217	496.03923930175205	423.8618708157942	437.4153148709555	437.34904758513176	457.9260920138543	403.0995827050552	407.16158316032454	290.6129113315977	63.758085857934816	6.328941974761707	0.0	0.0
13.04	0.0	25.376408142080475	443.6681517371235	464.4666667415005	464.22365475413795	486.46514694484677	528.3223595486877	488.66491031105227	389.7606748696373	405.2642884980101	412.0030013697169	419.41065090477656	435.209446988566	445.35321216811906	451.4859872074595	445.5315045824455	419.76504567776794	403.22955807714874	427.7297171269936	395.65543644697095	452.8979483496282	431.69613034150353	418.05558809842745	414.8082609514616	393.79974859199103	370.6353444992716	446.3766031807765	470.7204359292953	467.94580298985323	454.449294905019	460.1401916275297	406.46956809079734	415.7740303678901	425.8139580578116	388.85006696575635	300.92464416290056	73.13604461130473	4.021057935703287	0.0	0.0
13.05	0.0	20.826852902398418	398.85220942901054	433.93641477238555	492.4510836664237	510.56387941920667	461.84772513242467	420.88065170973556	357.1510499614881	432.59642261011186	446.1829859682613	459.02588178520216	449.1926086789431	447.0157565611234	441.0207966549473	447.29039494487483	458.10392882717395	425.8495315161034	389.57241891460137	422.8252108603813	399.4845991934604	429.54355974109376	413.6243388934367	389.36912143794234	369.83488552673987	361.29755102603633	462.10058237584605	457.87625545170835	490.95928642127484	460.3803047787697	470.24704029312505	439.44516083375345	461.36788446429307	384.64891249633865	402.5654404178266	291.4504951574983	66.00142602188062	2.5264237610567735	0.0	0.0
13.06	0.0	22.905886892041163	438.15170414253714	418.7296614648784	468.89650334529824	517.5677667427573	484.6631041232343	435.0132145901688	467.2073544755128	439.91192907631853	463.71657889575005	460.0524194013127	478.1009873071011	514.0460953522072	457.4473919532495	407.54251292890996	451.00494306841597	413.12583756517006	412.98894950976484	414.19807215788927	431.7178332767056	410.73689114316096	417.93772356315543	429.76303592070144	399.9529709242206	388.61992855679944	459.15734001958424	483.99558659244883	453.84953564020634	482.89785143370887	433.7647817401442	459.05604052086005	415.87149731293385	408.2335906699219	375.8596651755819	296.77867969198974	67.55403080222793	5.558146928140209	0.0	0.0
13.07	0.0	25.84753810242925	383.4668922541735	464.729692199948	465.8612781353286	511.5787402614325	465.3515023450508	444.65252155778217	429.22130317066495	412.1524371687064	418.0953821835616	448.08526541315587	479.9760031193424	430.1319071912436	451.2662661909308	423.62783729042934	412.4695783748943	449.2603849601593	426.45114714455696	449.37302121405185	453.3843926067966	408.9140973173956	445.546811979283	420.5088348916171	386.4303926462623	417.28520855134474	471.0465636632099	492.06271829211784	458.8120571866708	422.3478544485365	488.19905710992293	451.10949033583836	382.2875346898036	369.95138716900374	390.13532596022446	301.26733552306507	67.53351905444583	6.502279893026542	0.0	0.0
13.08	0.0	22.61387004270366	412.9875293552513	455.42802940882524	446.63621681117337	470.2660520772166	461.9704377622825	449.37710006289797	429.64552388854656	403.887382168133	437.1669555590275	435.8885669564758	440.1073800047114	469.08692141964667	473.72912235882956	432.9806487277041	463.02733937578904	406.40616018407997	439.012722263095	442.6804930835506	438.7446460338487	429.79031880362174	415.2670601758905	403.9558079934916	376.75949115697824	376.81077978425566	469.83374196312457	452.50791519284473	462.6992990503264	426.11418059275195	445.98176438665024	426.2468513303592	414.54426060170397	395.79294265598537	401.0740362753088	329.3930439941611	70.52047884509332	4.888283509935947	0.0	0.0
13.09	0.0	20.339911094063673	398.86179464333856	440.9400596771572	414.10608738046477	492.2109252886775	475.7307510484727	416.55986269041165	409.02166917116136	419.48212675045323	434.0853272508272	481.6684168138249	455.77598658364997	447.76863328137074	438.41581026744865	416.5885033803415	474.7997348731358	418.6865417163748	406.12178009897184	435.1402435011992	481.32337927027567	468.673155496833	416.9212672542108	430.08700283709277	402.7224343960505	411.98739671184654	462.16029244594097	498.7188043704705	464.7406910512385	430.69898293326855	459.68722154253993	491.5948707860516	415.9311848622225	357.6050045965937	363.7183737954014	328.556782635405	77.12532786062656	3.1126604638292354	0.0	0.0
13.1	0.0	22.640716953219414	398.0440858618651	440.33880366413456	465.75944573429933	496.40098190282106	506.80172011774897	429.1298834154928	438.8586319735512	447.2787640266504	425.0875123857778	402.8521189098507	445.44587577483867	464.6599399444129	484.39422525272363	442.63547245761777	467.11542072778326	397.3711566324378	439.20876333314754	444.51078827021485	471.22034118637123	412.0424557649185	423.9266078953364	389.7762563827489	396.6950356209022	414.5162685385446	448.7014101560492	503.51390625422454	424.1141857501435	413.04155462477286	441.90471217814724	439.2922810966994	381.41805778345883	379.22727054575205	363.6765312562592	326.90060255129566	69.64595106894514	7.01909637172462	0.0	0.0
13.11	0.0	24.529351540990156	426.875807922315	387.21317482053246	467.3444908165097	470.3841762011274	475.2964283852989	468.313431875787	417.70860334636006	407.06613100782727	450.6841155690269	458.1985333806359	462.1877917377818	480.16036326794335	433.2369998783339	431.51884749525743	418.2187305783424	440.106031718347	422.5533994455323	442.48063528745814	463.4413761520652	434.17346404075863	469.7063813617359	459.98630035033545	416.39479662594937	419.1027781233999	438.72555706843343	488.41677886555533	469.3989815649866	456.1868206197912	444.39364337960296	441.78549157181754	389.80529013629564	404.5831124369352	394.5123424317439	325.11342385962024	71.72560052250904	2.4099131572453287	0.0	0.0
13.12	0.0	23.035352369770425	421.77280595749335	410.46415343394386	450.08566378447506	506.59451581765404	471.9416946775452	490.32014065969867	464.5377589803482	424.6727952891937	480.1166655782685	407.6323892926805	442.25997941721675	493.5894660137712	418.75295579324893	454.86534904200045	427.2319532519757	448.4040428185873	453.86982443828003	437.6543670778435	473.61393791298417	451.9812780851895	404.7078931349627	403.11021411337134	450.01607760274123	395.41543586076216	434.83527919730017	463.81262379215207	444.38288452326316	421.7544199704471	449.99688279739166	466.6054098965252	431.1157326045443	401.34509871526245	421.5002179306437	329.63588274299195	71.95180694337006	2.3909450744645033	0.0	0.0
13.13	0.0	26.42827448759001	417.26597921415265	430.54181240481927	458.914855797102	573.1064269391981	529.678908750787	472.1547086012508	443.63823404081535	475.6879325071249	441.2517682573618	441.6958094285067	471.7242119058476	457.87099056649083	460.82824112755213	418.07093477996307	419.99735467483566	431.3677005768377	466.83416475919785	418.45638567085643	458.041219767347	412.60014256816834	427.8344411972799	393.82357664486517	432.54495814828056	395.4080240929923	447.16386937481855	442.87610763674746	423.1363218069618	459.2947410015982	462.8480319185303	434.5661769143264	438.5405938498981	401.9739261091239	390.6760346321228	354.3434599495705	75.71040126379951	1.5609052074097283	0.0	0.0
13.14	0.0	23.045770349649686	405.9415897574616	437.0891185791247	485.48078355842995	522.2037660628014	489.92099355574555	400.08876718543775	434.32793411149737	408.61481150496587	440.3613109054471	432.31967532799393	433.09893993018295	445.8713597574315	422.5624091344841	433.93370393483764	407.01039270515906	437.94679206510625	412.2223144755242	402.0348002850784	423.792580189544	459.67512731976643	446.42354170082695	409.5999407081268	436.57163483478075	403.21610732946704	459.4180105569341	475.7044902342085	475.48422586001504	456.4409621551921	447.77038647459676	420.3993054711899	380.8383403796434	351.26705320121863	435.8551515356364	306.47020756824315	88.13282401698149	2.6239656598486825	0.0	0.0
13.15	0.0	47.20419638682852	446.2475371448518	418.26764922766125	450.36581593614244	488.99941454260613	494.9482240843465	468.99370027314626	462.5871660596009	443.79994663999537	384.44158567521845	432.62519220918256	446.06375982038077	444.7450015595531	451.70869332233764	437.17403878581933	447.06391764010465	418.27655454692683	451.71130577825744	420.02205236949777	432.92069151845897	418.42719208299525	421.94266800408843	441.8590532936067	376.487608249783	450.97845927533956	463.6488764057487	477.54037125126433	479.51635629680015	441.3895279475992	445.122135627481	419.9527924472935	467.40886141770693	398.2911547737103	380.9014951898908	345.8906374451718	96.3940888864872	5.611476931464406	0.0	0.0
13.16	0.0	46.74624406496858	413.9772666155395	403.78586392614835	468.4253008219247	564.3095352871927	488.2997182604946	486.06604076884423	432.82710574907526	442.6432533003887	434.5395495407043	470.44051852054423	453.7850198878987	439.49792740428944	451.6590492755116	434.64883245623594	383.16606890756805	435.07291836720515	379.80487521695727	416.1433580639931	426.93971003675574	407.98745166061695	413.0078333559875	406.0898507591227	425.6925865994063	396.8845826634613	473.1408880267311	429.032073143929	455.86207306727033	478.9072292548659	469.37785983685177	475.75338085546883	440.0959800683802	402.44783327019906	392.76222382502823	331.0427252697798	80.84578909203306	2.755987577830597	0.0	0.0
13.17	0.0	43.52973127914274	362.1348107665286	383.2059130128859	426.81177631930166	509.0047401000965	504.09311381183153	480.76591134817903	499.7946947246331	390.41468452430803	411.57530525800735	467.82295095235077	454.28551729446536	499.2828148576973	410.5530010881392	457.22411341101287	427.8616741944084	397.9696560431696	445.2226784041027	440.9832820997673	389.76076724413207	404.57784202555143	463.5854085924746	395.5574265515827	434.8501614508658	418.056481231503	451.3278528628662	443.7193088834581	440.838653062025	417.72334107796536	476.06136848307835	430.8804003077532	425.03991403270766	431.2432245691567	354.19604509401955	346.10395745985	82.6974285168112	3.526169259830779	0.0	0.0
13.18	0.0	36.428718723685584	409.84905704881703	428.37976482009657	464.78158844974774	523.4613134609897	537.7310351354718	488.71355157726134	442.85835499393346	407.9111050713508	440.21470141285823	431.4481366724359	476.3418959129038	463.4304983206	462.9118276760366	435.159380755683	424.96786359793896	457.379489019121	454.10472966572115	458.96732173543825	434.47698595943905	413.59556816732504	429.0056745755881	398.45689395423693	405.2641799691225	417.05087279627816	474.05796655610465	449.449849529206	431.0043251310713	413.44782696859266	452.7485254142253	427.5117687200554	414.36099765092644	424.24745779006764	375.07770627316273	310.3824240876347	77.98591398209695	7.425050265679946	0.0	0.0
13.19	0.0	44.0692387105897	417.38822938758386	433.671758383277	422.3797370981124	500.0130268712404	507.17675550303983	456.42994999821644	416.8563424235599	421.811095845067	419.5090130327083	415.5542841602306	471.18521088160685	494.24221425559034	445.66894121922866	444.01999256404747	451.837065691262	474.30215176104656	458.35088409276284	431.272528380315	426.8494179188285	429.26697813831527	446.19769449750083	368.3009616355821	408.3908676038432	418.47707796523855	455.37775909711	462.00481030534183	434.07299455120767	463.0755267890125	440.4258463989514	409.1748792965327	423.52174185215887	376.4913244058412	369.1907781353727	315.490722618817	85.46389716983286	4.815803898289268	0.0	0.0
13.2	0.0	39.45970682552522	396.47549007547684	415.47218005777063	469.15183568214326	505.2308799057783	553.7465873074209	473.15094556465414	465.4217296868592	493.18635603931136	407.4099828668386	450.24802924754704	457.2649271193508	473.72150734106924	478.62016996833773	489.02616465152636	466.09524282311736	446.59038609587543	426.6893920881508	452.93884324084775	449.1971131768653	436.0330344220244	428.264311817438	410.35246949884146	404.90348947531595	423.5656647883543	459.5606355758576	457.43962998132474	433.27287612850915	449.54084317680605	491.1731956871447	450.11962764629135	437.9162529801745	413.0018056051458	404.5182351504493	330.1585993921035	92.54453332366204	1.9975253591622821	0.0	0.0
13.21	0.0	48.41429312567681	399.54178149014507	420.29891207396486	462.26574490006567	461.63298533470373	557.9626955436817	465.00126325693094	423.3386429300768	454.25239587912154	481.6369329622706	451.68622582314947	480.66897473144206	475.3597635963284	474.82199427508885	475.1744530887886	474.93419636673764	451.86400946022326	438.9792018979721	419.4584234394712	407.5633036661315	431.52106777957067	399.7066286632546	371.82535964697985	386.07978697398767	425.171564207408	466.27699002531	429.9887206771924	429.14435070303773	455.24189715500313	428.89268577816244	454.35060845817424	400.84561231739156	376.9409029534088	357.65298867263095	366.9446308184624	85.74635915770543	9.208338691352063	0.0	0.0
13.22	0.0	49.31547943321573	418.69661665150517	424.16325425769253	459.27053795426434	534.4463751432147	531.6751665612032	465.4682271466085	423.3505089280069	437.7835524436648	470.9674805027869	464.9415049326808	434.24313337531436	432.95394545973903	432.73199953722144	446.9941934502895	438.8820580350645	443.3022326862132	405.6502999172218	406.64600785243374	398.94605142489587	454.03993800092013	392.1833807323778	363.23302685429195	391.75485879883036	468.9770891916678	494.1584787950492	464.2001724641054	423.7669543032955	450.49251998095485	440.39167904761206	424.8790272559334	421.14401144699434	401.4291263070664	386.30471887495	339.8580442383907	85.30729154100699	4.734333387102197	0.0	0.0
13.23	0.0	46.41050616263134	408.68227105913274	419.83583600578777	428.28548883893853	550.9969545164369	507.94549003325744	494.76778856306714	449.3757203224677	462.77223440137607	463.7532813280723	410.424972294686	485.3144301948698	457.7693487095513	467.5115132779683	453.4768304953878	421.9616860183058	412.4704095003893	410.3598955324215	429.39737999063647	451.4445663194432	424.22447112300796	396.10287085347426	409.76502849957654	407.3354869104182	428.8864347122887	460.52644056811954	446.94677805971344	438.8970204885681	407.859761230011	437.4680140243792	469.90391636956826	414.9728923092421	408.8666137356082	368.4052250081081	331.5540185006166	86.5501032090162	7.165091476002002	0.0	0.0
13.24	0.0	47.34789139367359	416.1165429500218	419.5926660278652	465.36643704200696	479.8948034248549	543.4581292279686	499.23593025567277	483.22016634308716	454.3573978658986	432.83916036390633	439.3695236139632	448.22235145349293	478.65843334683854	460.4170988957414	452.10707496766037	440.1753684474356	420.3662589299125	416.82662553987694	437.04763435166177	433.47175195514075	407.5422591523855	427.7968130078977	391.3381528249679	411.52269145082994	410.86940888303013	458.5921813094236	431.80082518143695	443.7530548996771	440.58127602019096	428.9182153238493	399.0473513663054	364.828756792741	408.4399941252092	403.0602841783351	337.73739074206844	88.14150888171235	3.4739112977901976	0.0	0.0
13.25	0.0	67.50157011187663	427.841309045565	404.86025771112116	457.8461038266418	475.4543855961849	489.883702273932	463.0882171554824	475.26885350933946	422.5651486200438	409.61958951837954	434.54014726820486	469.1992906388015	511.39716754720064	517.2613947323863	458.11515890490836	487.1257952848356	428.4126581441227	451.9616922663052	479.93836403749	423.4148353503403	412.88381571238517	434.5571017757172	374.8620909083182	396.9605882874533	435.67218064011115	447.3112737062664	505.00889328601954	414.19153118360714	456.5576990257418	475.3010088345692	425.7353746781765	405.2538363009305	420.29531874338227	406.94123578945386	348.43253841289163	101.88735907320503	5.676865613223305	0.0	0.0
13.26	0.0	70.10073440787708	385.43541504024665	455.5673021415071	454.97648791490036	449.52405158601476	520.6667851046468	519.4490789547733	458.6572186720888	450.72761446620336	412.2700028314148	453.9012348056559	468.14210876610355	486.27987926531404	466.4686951987301	474.32779348123347	458.126419872309	448.88168643258626	399.0241897832794	434.17949272697484	419.81789546072076	415.9909939374522	430.07232151780465	413.5054971354651	407.1562110251692	432.5910100037329	464.07946101333044	478.0396298985571	407.3511868508285	447.2203568513394	445.84592973092253	416.3920586595959	412.2618673262213	417.4717357747141	435.0503518747093	361.426716775267	104.81542362666923	9.218931293375823	0.0	0.0
13.27	0.0	62.566455410836184	369.5021153991828	443.20012152684325	451.55948585052386	506.4266578218909	503.320737062634	488.6347226831153	411.8346771742343	449.28229621273505	406.3870438090179	454.60447410298485	444.38728537384236	458.47942890329153	433.51528801288663	429.11947523104095	426.66642666405676	409.10542262324054	395.02798276241714	439.68272248539796	436.82324601885813	438.79523637514	443.78333181799354	369.50910990530656	396.48376767062734	432.32585137257524	457.3966716144048	454.4966934512617	451.1849652940213	409.44932722133063	432.42755510988934	449.34910393396706	460.70901309714634	404.70567088698044	399.03013426859263	337.344217148451	98.34421755259602	5.299918325572477	0.0	0.0
13.28	0.0	52.85398942851843	396.56798939109916	433.7363656435071	415.90825399891986	476.7238045693497	513.0427305664667	506.59103429665174	457.1674854209707	409.48443369793756	395.2383405833805	441.3770899526157	425.49657076001205	434.74290940018034	449.04380210923534	458.47464948104454	452.1930092784148	426.4534106043035	416.8020176793098	376.1609150855632	446.08717379864026	402.1657898737626	421.224848827349	414.70818230130146	398.0721706244627	454.56182765334455	459.7869948165363	425.65734686306223	436.90510869004044	416.29779378921495	437.5232845764624	405.87075506484155	442.0986290928634	391.7690006794237	381.17632717823864	356.72286236078435	84.079828404308	3.6763755038695978	0.0	0.0
13.29	0.0	70.044836976666	433.68370988901097	409.61888322223933	469.44355345798914	450.47421127016855	520.4118340599464	544.1871944224871	480.9988474473562	414.95855457478467	416.5231699116767	487.269348071076	440.0655417437354	447.04084306572827	472.182580518556	461.3380782916625	428.0041409535798	435.6067731445961	418.13256174950084	454.25058175567546	423.8310316033584	417.8948224715978	377.0854006998358	406.382024407879	389.7048169385588	423.9264544812669	473.18737926776464	437.6177172715062	470.10803723810517	453.494980602955	429.0224119940745	420.4345053298021	397.69725471759926	447.15753488789517	394.83652764569246	316.566794668644	85.31512560080508	1.0052275501143715	0.0	0.0
13.3	0.0	72.0571859565133	405.2100716200784	399.37300269717423	442.7919896516124	505.44346850713777	504.38836378709374	526.2977596153652	480.81807880110347	417.32778850934284	412.8369776737262	463.55733626657457	438.88299573387525	457.46690988559067	476.8639820255859	463.71061403397823	446.339446155574	391.02983797448593	442.2243039052809	434.77070004026956	451.229409312217	385.3328448833059	363.32941578149666	399.55232250228704	419.19450475841836	471.8213778633964	491.972896654178	417.73437981619225	368.4508439727722	408.2199211896485	447.4978815238633	403.7367769642775	388.11469815181147	387.5189529740818	387.6436411682293	346.3483430622703	98.7463783817348	1.5124206787809653	0.0	0.0
13.31	0.0	82.32747658964341	384.61693593933734	418.6392794415757	455.12120895582365	493.56880163192744	521.0849938770372	496.8567628451335	470.61781168533145	435.51217114966255	437.2857639495054	428.95376673238184	431.6419665554866	504.02848177222506	493.80835921011106	448.71650195702955	427.9002662661956	447.41484551315745	476.3918115111667	426.70548360225126	432.92374626004397	452.42477968186455	417.207180155474	430.95249727451466	400.0301460962312	448.0738307042999	450.5497078226581	432.5105860348231	415.09154961394717	427.48691520380544	432.55711383605137	421.6299207677174	415.8880903721851	373.8894683360489	380.5553224093489	327.6971590821048	115.09760418210702	6.849503337081455	0.0	0.0
