
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
3.5	0.0	-312.97344574958873	-418.2260361174205	-782.87287825168	-1179.5615990949384	-1554.041398208342	-1941.7968511914355	-2246.8710397261607	-2621.0507381822626	-3088.6498021880525	-3548.5782245784285	-3925.0865881834316	-4351.000121787737	-4740.182472239062	-5147.515602351416	-5575.377785027704	-5957.292811940101	-6349.043548223032	-6729.783266609753	-7152.638340698105	-7549.815074796242	-8005.9829890697865	-8392.294810774227	-8805.824592113908	-9183.595966551591	-9540.882032322128	-9984.706778419024	-10354.57861406465	-10789.164329208174	-11162.275922566749	-11636.548853433907	-12076.787322631772	-12438.307040054577	-12795.868711158368	-13237.54740340989	-13656.572194432494	-14254.35618013974	-14788.323062924575	-15199.782771115773	-15600.0
3.49	0.0	-308.41487572800753	-389.0969976204251	-801.553715621015	-1159.5333445234237	-1561.4632841442913	-1958.0557810317896	-2302.1317794376687	-2625.4600793683385	-3131.374556118101	-3512.3722514081114	-3947.685835396581	-4386.928852810977	-4751.302479283074	-5132.780022986392	-5563.868326256566	-5987.926231819025	-6346.741450181387	-6778.359683043031	-7165.13808916918	-7575.344544682509	-7965.307636446398	-8388.364752241012	-8778.183969195257	-9114.099090477377	-9528.052487982808	-9960.564358104057	-10379.321301515996	-10787.527718017554	-11199.59524758903	-11606.139091605395	-12038.449658250247	-12436.637886004366	-12832.815828168359	-13198.657713962657	-13657.30986791269	-14266.506508548577	-14795.587951825459	-15199.309350354913	-15600.0
3.48	0.0	-281.3975640305203	-439.23802198787484	-802.6575952724331	-1155.1054780726051	-1514.319027974982	-1924.8352035489056	-2257.770480567914	-2602.84365204048	-3081.548968385224	-3542.061383354605	-3912.212660353756	-4276.320047605405	-4716.52262762196	-5138.361089881477	-5566.327011133675	-5993.498671125045	-6362.640397020423	-6820.750163896266	-7193.866192791778	-7617.090108643001	-7988.0018833740705	-8379.843705581927	-8776.311164793688	-9132.926425705846	-9492.878794068098	-9930.91954446055	-10361.652132158422	-10746.938092495937	-11178.607217976718	-11583.171129291311	-12036.433193052035	-12436.377653860083	-12773.421781438958	-13221.069056721717	-13635.684935721638	-14268.222862386823	-14791.545833997656	-15199.819162876458	-15600.0
3.47	0.0	-299.4866892543729	-413.7087167047141	-813.3150051396785	-1187.8242570767961	-1535.0849216432161	-1882.0360222832505	-2295.083682412853	-2650.9252836380283	-3090.703064584755	-3518.3420401530557	-3921.1067701091383	-4382.22906971544	-4762.343710712756	-5124.464947149503	-5538.161188652198	-5918.5748440701545	-6337.62137924454	-6771.281589304005	-7203.23018723831	-7602.392408160907	-7969.07386851253	-8377.561182814554	-8748.098608122831	-9184.827306572259	-9466.27692342709	-9970.421790957691	-10357.060597074973	-10782.746125990285	-11215.151213747362	-11571.217488494365	-12011.22063014226	-12452.041548722727	-12840.124817813585	-13189.49124411189	-13626.56544337683	-14249.749445840798	-14794.561498907386	-15199.977602387396	-15600.0
3.46	0.0	-283.02649661990654	-443.0045046143894	-799.985786607255	-1168.811958705484	-1537.4860547395172	-1928.6267411375502	-2242.719142528389	-2632.1068550661626	-3091.122998479397	-3545.0552356965486	-3936.9065957965504	-4327.440494193554	-4747.863837333506	-5160.584468995592	-5551.458713175607	-5989.920305064246	-6340.3479556958055	-6747.102834369683	-7172.999414557775	-7603.335329126632	-7985.499405233506	-8374.474221732738	-8773.18258617721	-9152.524516005218	-9540.785686709649	-9950.492880035308	-10331.909869400815	-10747.839043619535	-11226.133048229904	-11647.06327380366	-12047.56464310025	-12427.415011475327	-12864.33873641091	-13234.076341367152	-13636.472809716026	-14255.012035148973	-14791.251652751245	-15198.759804577947	-15600.0
3.45	0.0	-279.6503198022747	-396.6063331718515	-793.4222286953558	-1206.219643290527	-1584.195609942311	-1931.1862117520345	-2287.938228708304	-2670.825021900778	-3083.7843825394675	-3539.4537132801333	-3963.5104178817865	-4346.89771773851	-4722.810911365047	-5117.670280718527	-5552.7254660671815	-5959.0054955870855	-6409.57147168472	-6773.338675069072	-7187.550192105713	-7617.698353752491	-7969.436678743435	-8373.534842814308	-8792.595669301403	-9150.617803763587	-9567.086013218286	-9939.945614559496	-10329.09546616246	-10766.143239600115	-11164.03037839122	-11588.391657612972	-12026.242647005787	-12447.783738086415	-12873.638329754012	-13206.540043994184	-13650.290787351367	-14238.588152784103	-14797.726648754593	-15200.0	-15600.0
3.44	0.0	-300.14768222724103	-416.24624535858527	-819.261947945532	-1194.9348004953108	-1556.4642570152023	-1959.5236056440262	-2277.953440133402	-2661.016967130384	-3074.9045251344855	-3541.5429000370123	-3942.4418838669317	-4287.959023367096	-4693.617221919721	-5121.353734332993	-5534.240852301101	-5950.814718483875	-6364.150114451862	-6765.05325790984	-7183.714784186169	-7586.807699307342	-7990.76083315132	-8381.54036866454	-8788.373255208951	-9086.274996225491	-9496.61068167746	-9951.987973990346	-10378.695462023481	-10792.47525176814	-11219.761652715306	-11632.454903044212	-12067.510236788114	-12462.87549987694	-12832.065030144564	-13187.861200394085	-13646.284089172404	-14256.296031545977	-14788.059816719124	-15199.986621661761	-15600.0
3.43	0.0	-266.72445279407566	-402.83762176527483	-817.3671236658316	-1197.5568935985411	-1535.3011627125315	-1931.1949440263643	-2277.717951287691	-2650.8643703077155	-3063.824405208962	-3546.07532509559	-3930.7217147897427	-4301.309157059696	-4742.54600402297	-5148.772502491803	-5558.442556547303	-5973.870154985008	-6361.568176472868	-6766.350712935013	-7206.520194443931	-7595.628315687375	-7998.792616621398	-8389.595675194812	-8795.88388363872	-9162.90821569436	-9551.93308302166	-9951.585366351199	-10318.256551819793	-10767.82324304626	-11170.887352242655	-11620.936249220675	-12025.104686035256	-12435.284316011921	-12839.837734161783	-13225.976464934	-13631.7266485486	-14239.911556906816	-14790.860866490735	-15200.0	-15600.0
3.42	0.0	-270.4197700764971	-396.5847727427745	-806.9150534971325	-1167.7073481614052	-1534.6918490680623	-1961.5331678446285	-2295.928552168198	-2610.2027908351756	-3063.167757830462	-3487.5105391803627	-3901.6706083868166	-4343.182380797147	-4763.952398671175	-5118.895262422433	-5566.232688149835	-5975.020167621182	-6366.896205389618	-6783.492656390701	-7150.098461198284	-7588.968693110112	-7983.61702510048	-8395.676968360827	-8768.2328216042	-9135.551893951922	-9515.814044146493	-9946.131927366627	-10369.857749253282	-10790.27219314499	-11180.171548536266	-11636.158706269782	-12054.965076234463	-12450.992206844478	-12835.02567432591	-13207.552133636782	-13627.199338980818	-14263.829110942259	-14795.703496860753	-15199.30155250792	-15600.0
3.41	0.0	-279.64385896495247	-430.25199819305766	-811.0235067579713	-1200.0339916435796	-1540.9182805604828	-1937.1561027552978	-2299.0454218146506	-2655.863517736495	-3064.4854151707123	-3491.4383242296876	-3902.699345207834	-4348.3787201475725	-4735.720665423748	-5168.822414889211	-5579.657634118273	-5949.404757308385	-6371.55494489669	-6777.837567354547	-7165.187402767249	-7570.182780669451	-7976.482098272558	-8380.36057632471	-8762.239123919922	-9131.334052264005	-9507.402987826305	-9943.013080077117	-10361.101048792723	-10749.862678894173	-11194.854870339192	-11612.204116048508	-12074.679706284323	-12459.37942884108	-12865.068734275534	-13221.679261653975	-13616.996380959697	-14244.1049735064	-14791.031444765717	-15198.713568976524	-15600.0
3.4	0.0	-279.6923484634005	-420.4164770446094	-819.5754579054078	-1200.9442115267793	-1498.1196238954078	-1923.214311538498	-2279.966901542849	-2641.1690542861593	-3064.5851562868543	-3496.67352497018	-3906.6945876961618	-4312.066117836314	-4731.9737682221985	-5138.457111893364	-5546.154910367385	-5971.517161269113	-6373.762832852401	-6761.087752652204	-7188.997306413314	-7613.67396426087	-7936.698296398957	-8344.85132326082	-8761.59411957594	-9137.21670203619	-9527.473951401014	-9918.85999694688	-10334.664452283565	-10786.603276245962	-11182.30963137782	-11612.668654492203	-12072.46745046099	-12423.28476107202	-12864.466354024686	-13226.709722535777	-13663.659155737596	-14219.565420692326	-14790.099126099169	-15198.691453482968	-15600.0
3.39	0.0	-272.44816556702415	-406.2376087650972	-800.8789643206173	-1168.7477853893515	-1556.2120972857845	-1957.4499825151217	-2304.4940198902445	-2664.6953380479645	-3046.0189350495834	-3534.2546610780823	-3922.7864060415204	-4348.400576765362	-4755.394695505603	-5170.241148575445	-5593.657644269036	-5997.690589802265	-6352.141326017166	-6743.588053134449	-7183.973290410421	-7590.861865416221	-7982.291727752108	-8397.611112875731	-8794.65387361749	-9141.031548195138	-9525.341613485194	-9966.135540594054	-10311.431510092312	-10811.733413498494	-11204.235601540337	-11602.468781020085	-12014.194630716802	-12461.57550138855	-12841.225571660143	-13230.017054563266	-13661.487415850806	-14219.377398901594	-14790.944878758904	-15199.829333397453	-15600.0
3.38	0.0	-284.4069430019571	-441.22676924730285	-813.0994378257527	-1148.4885177345886	-1556.2646430659447	-1926.979334566644	-2273.8034344302664	-2636.913376642095	-3054.6383163188752	-3487.6028766499794	-3938.0805555474344	-4289.329622565501	-4751.8558048659615	-5179.0985948167845	-5561.006642956668	-5950.715037414112	-6358.234354240629	-6767.528075537591	-7197.042906661486	-7582.756912679744	-7976.4963475374925	-8386.621074627179	-8800.807607428	-9098.548035849208	-9541.142961897156	-9937.568954683748	-10356.932206893183	-10819.341281683013	-11218.186314555112	-11665.857397289556	-12032.103675374412	-12449.985704360106	-12823.884217078756	-13197.536295783322	-13595.944534137361	-14191.335085392797	-14787.88097361927	-15198.856375694582	-15600.0
3.37	0.0	-262.20767162462096	-402.7948974767825	-842.9656470738587	-1205.4056893485185	-1537.6048377253533	-1927.8503987468453	-2267.264406449052	-2632.780089390019	-3008.74940849487	-3528.289157366189	-3924.7157516711636	-4319.04173616553	-4725.606025964034	-5162.512785624322	-5552.156053015439	-5967.642469777344	-6379.42644256866	-6782.37806877525	-7164.302722260751	-7586.252508861669	-7992.584978799703	-8373.694740802648	-8796.016962463957	-9135.163359877735	-9553.301620692775	-9941.677084133556	-10341.816411400143	-10784.590385347325	-11183.169104382352	-11645.080055651753	-12066.747569867968	-12464.570556444878	-12834.634463926737	-13238.800043152025	-13634.405818744615	-14201.09993027381	-14786.61603187594	-15199.641152088601	-15600.0
3.36	0.0	-264.5527224247014	-425.2750481403527	-829.4228222444034	-1197.926339038261	-1561.4275442500816	-1951.521484184012	-2323.004900627495	-2645.47861161425	-3016.1235850576054	-3490.4758536968206	-3977.733962810835	-4304.161278094639	-4755.390534031899	-5139.979045156328	-5553.695698037359	-5992.780886542544	-6348.851316951733	-6785.800623173459	-7180.194008992611	-7570.709996067892	-7946.745407065389	-8376.37654301832	-8729.723051810712	-9099.406960573924	-9533.518274753971	-9955.902504948235	-10399.850700420293	-10738.830026199263	-11220.719577772454	-11631.22604146753	-12043.488892902755	-12461.08252816556	-12842.210912073484	-13176.451535915714	-13579.877387248216	-14217.585581649648	-14786.052510993144	-15199.959013681726	-15600.0
3.35	0.0	-269.3473952898827	-400.23213982275104	-804.4370666469247	-1204.8651143234622	-1550.5467645223216	-1932.4572287001838	-2299.7591578189144	-2688.6966938972923	-3022.366240367144	-3478.037709728731	-3910.412177410033	-4312.437206478221	-4735.526550299343	-5148.086533074986	-5562.223695473197	-5926.693361688536	-6342.002435757695	-6751.708121914211	-7188.420851440298	-7595.963197625108	-8000.819631332176	-8397.865907841704	-8714.380179790176	-9128.564747786122	-9577.444921593911	-9960.67146528956	-10349.221964126002	-10798.124684565484	-11195.191683636485	-11627.169993442183	-12015.185021690948	-12450.95280905866	-12833.389830199378	-13211.17210522513	-13638.88697530391	-14210.739921829767	-14788.686918856012	-15197.876744614066	-15600.0
3.34	0.0	-278.0418954482011	-350.9644732352557	-775.1480572605204	-1156.7424591071053	-1546.7906882946686	-1937.8531037973223	-2314.9460894977665	-2658.6832748161796	-3048.849935761441	-3523.0068376331137	-3880.463882984358	-4332.366479450978	-4758.348653977888	-5127.564947280547	-5495.478200192542	-5964.887228446151	-6378.2825997899035	-6780.857592735119	-7163.922841255144	-7583.415060058792	-7999.650098896963	-8407.311775871742	-8762.89432940253	-9121.757935974114	-9572.11306283381	-9972.127740794045	-10345.118389068695	-10791.816939522536	-11189.690088289188	-11620.317719125665	-12039.50810056205	-12429.920594667887	-12798.086135737945	-13235.191151288846	-13648.981505468104	-14207.486828316802	-14791.232860691061	-15198.688830257377	-15600.0
3.33	0.0	-257.46790636433843	-409.7464229498541	-817.0115445661238	-1162.4519645781252	-1581.7113520969647	-1974.8045624066312	-2256.297709861245	-2631.837556674024	-3055.588879841016	-3466.9843659776875	-3925.2945370626535	-4370.901078462409	-4745.548381501922	-5135.725538205603	-5558.020251143591	-5969.657763541243	-6389.209041767856	-6783.667071287307	-7142.1756937148575	-7540.23373555573	-7956.712470980081	-8394.157452669335	-8771.691231108955	-9124.934945453891	-9513.347702755638	-9964.285897177038	-10377.13971881816	-10784.27056427541	-11233.71807353809	-11645.769656868539	-12025.492518367872	-12427.568378307997	-12856.090485230932	-13202.890272169148	-13626.480476701317	-14210.482271420258	-14785.012372938325	-15198.133010264974	-15600.0
3.32	0.0	-216.04654681299252	-401.85227942787657	-787.0367897851118	-1166.1826109580898	-1536.9074400144937	-1922.6029042426	-2278.6690191193634	-2613.0164050332196	-2990.4456023870034	-3492.902247738528	-3919.893832311225	-4336.7834577299045	-4761.676087779421	-5102.890762093075	-5541.671023143245	-5952.824556830235	-6416.582394240529	-6796.0474323108465	-7196.342994449856	-7618.1500823008655	-7973.630632581389	-8367.081681135265	-8751.460268886716	-9168.44535446314	-9536.122639240184	-9944.381549950762	-10357.790639569408	-10751.59396224952	-11196.55756193319	-11664.9891423475	-12074.10828187957	-12471.861242344432	-12843.297605142629	-13237.09648311921	-13593.219125232605	-14200.860954656842	-14786.619220506565	-15196.013554042536	-15600.0
3.31	0.0	-265.020750645903	-423.221333122523	-774.4812535992139	-1201.0521517458687	-1562.1421089464736	-1931.2923609108898	-2305.5117514017193	-2660.8945379702723	-3048.0116119111262	-3493.238900533393	-3970.04866089159	-4351.333712741216	-4754.700742015039	-5149.827782953368	-5522.745982845126	-5956.2634241563965	-6349.968646058699	-6789.401578139863	-7192.617678811069	-7590.508212917456	-7975.26287251772	-8388.491591127198	-8752.32154458508	-9088.481048435611	-9557.581755440875	-9974.934637105871	-10389.740490503522	-10822.030231311373	-11232.214040641773	-11597.055353848655	-12025.319233050059	-12460.36241775075	-12797.490949956364	-13210.91587879129	-13611.38107339383	-14200.07457830673	-14790.882157303398	-15197.045343266527	-15600.0
3.3	0.0	-236.73115705580392	-407.73984382798335	-778.0801676664244	-1172.1269485426683	-1540.5518910323103	-1949.938705082356	-2342.5369423160514	-2655.9633533923134	-3026.5009815297904	-3549.2225524052947	-3925.5121824346543	-4371.225787426875	-4740.986603833601	-5147.255203740406	-5560.6993951133445	-5964.430558938984	-6374.971153571671	-6730.160542271706	-7217.26488856113	-7604.1769294172755	-7989.981899904249	-8385.210569016002	-8709.348501685516	-9162.036772501808	-9556.170453642251	-9969.380192137323	-10401.114923094576	-10770.857306455177	-11235.052571526747	-11611.76100386129	-12054.88006148843	-12424.159995044285	-12840.573839503317	-13215.70210831458	-13603.080836870286	-14192.634872997154	-14785.723575671813	-15200.0	-15600.0
3.29	0.0	-228.26843929479642	-376.4145043993456	-765.9197556357908	-1168.1447159716863	-1584.481638400751	-1961.1724931129309	-2326.59543100892	-2681.276655991621	-3044.8378202536496	-3503.6504641736947	-3905.9430599548923	-4333.294005213658	-4704.812373797004	-5135.449475542693	-5582.155171961427	-5950.359416259482	-6315.153416352157	-6753.965545659115	-7175.552146840286	-7595.633780133187	-7984.838445491029	-8402.608260401961	-8771.514535676999	-9124.531684088493	-9536.656854316347	-9969.55184835926	-10370.234702259262	-10760.692540873122	-11208.389874404294	-11618.217639422484	-12033.596197622412	-12425.769078859312	-12832.867579050642	-13209.39165892941	-13620.213087692455	-14194.996861994716	-14786.373899851951	-15199.507018228569	-15600.0
3.28	0.0	-238.4104235654977	-376.2724996237821	-820.9442430171516	-1175.1533620276305	-1582.2476284193663	-1960.6706750997455	-2310.5768850319496	-2682.8447889020626	-3022.263662098986	-3474.3761527234897	-3900.9534840163806	-4305.472253824904	-4726.604914904808	-5148.141671010721	-5519.436183055749	-5990.23738373283	-6401.16388907762	-6795.893885477375	-7192.004283843214	-7580.053335266262	-7997.938946095707	-8384.296129415874	-8745.904265766854	-9127.71790688663	-9515.326609538819	-9960.790423617693	-10379.28952134716	-10753.88851308727	-11190.826330014503	-11665.089157140254	-12044.980863588255	-12435.889076795836	-12850.01202362082	-13172.248081545786	-13621.212321330773	-14192.114379267614	-14785.89466274821	-15199.423908224522	-15600.0
3.27	0.0	-257.16947819285156	-411.59927493492796	-791.4171757582336	-1177.2928513318225	-1584.8726460201644	-1974.1982895681876	-2359.9668120356	-2641.887868808335	-3005.532581606726	-3511.793018387311	-3911.6435851845313	-4333.373777420056	-4728.780698052399	-5155.2216310378	-5557.707827250765	-5976.616980289179	-6415.250617463489	-6742.286973592041	-7154.536033664865	-7584.697687073045	-8004.6600649758875	-8388.746370644647	-8769.203157259073	-9098.417291149424	-9538.856447844058	-9987.475169085268	-10350.282619087082	-10778.892143911913	-11245.748419502312	-11642.614531633428	-12030.360877566996	-12414.878885597309	-12802.36553418076	-13198.229270375814	-13622.54385710556	-14211.26151151987	-14782.084754409305	-15199.93672063189	-15600.0
3.26	0.0	-238.62824740203308	-372.47690888388604	-789.9830151319131	-1196.4565684468998	-1569.256649988241	-1942.735809809853	-2363.4568528879113	-2652.4196618316564	-3008.711061943823	-3481.9472016742734	-3933.5496463048044	-4334.056639167571	-4726.459506971124	-5164.769480231327	-5584.296803595548	-5965.030594789957	-6371.937840305254	-6789.21693092458	-7170.193936548594	-7545.9353547744895	-7970.771150852856	-8370.448377656787	-8771.986617765284	-9118.5751819982	-9559.061824541233	-9967.20180634678	-10433.237879843213	-10816.007268654874	-11239.391663623213	-11640.128669731419	-12039.640925623517	-12426.33218500292	-12841.023936938014	-13210.00031830776	-13619.412820473242	-14179.654797763282	-14783.845848964738	-15199.260603493249	-15600.0
3.25	0.0	-232.6830750208286	-405.467092847391	-758.9950863007443	-1224.0240402261695	-1542.0764088616875	-1902.6350754465998	-2323.281715249449	-2682.742397837748	-3010.229557299912	-3493.2514253553136	-3920.8720266335213	-4302.42301369165	-4681.811597956505	-5178.366302335252	-5561.80855458115	-5945.797786187985	-6377.696427909848	-6788.599039431527	-7186.17337637108	-7589.411273091879	-7903.665648051637	-8373.694368726188	-8684.062992791532	-9125.568648179218	-9560.103186983242	-10007.687257437194	-10351.643624225588	-10812.310337658313	-11182.556350152545	-11628.235907827737	-12089.53303094813	-12473.939642451576	-12846.62966088342	-13243.380816053026	-13621.055729597894	-14173.668258533648	-14780.264435542193	-15199.31304156781	-15600.0
3.24	0.0	-207.23265217116406	-338.5238591513119	-796.5638208487651	-1203.4581052143576	-1541.8870069304296	-1959.6506643156315	-2295.2230895890107	-2648.694949851931	-2973.6324675426795	-3460.7893987631405	-3889.3214793835687	-4346.11050054662	-4753.195712385665	-5146.066286255875	-5541.137714025789	-5946.959366628467	-6368.94993741363	-6751.646894412871	-7167.238014408316	-7569.56457532406	-7962.331175127247	-8342.428308786739	-8733.92279150419	-9141.614157837403	-9551.292096815312	-9969.806227234209	-10362.448582473678	-10789.733895317915	-11217.7970332155	-11625.690408954884	-12051.204307796632	-12468.437448882574	-12834.323741468985	-13196.259321730658	-13617.368072905543	-14168.852173863006	-14790.519445538559	-15199.500434420994	-15600.0
3.23	0.0	-219.1429247601766	-383.3505901764517	-812.3538345615436	-1211.345989980751	-1557.1588574323168	-1945.0421325531986	-2309.1992384169107	-2703.7211330670902	-3018.1612408168576	-3478.3184373669437	-3912.3083903037214	-4339.81764037626	-4740.442166853494	-5145.916607259015	-5521.602941706763	-5994.752867245172	-6416.4256343469815	-6807.579367372515	-7164.544217829411	-7604.929539489022	-7985.327440121852	-8332.984453390904	-8761.524864507097	-9110.656532200868	-9553.69699618268	-10001.145405679972	-10370.94341099379	-10791.01781009481	-11214.093086645258	-11634.484936456025	-12033.89181037415	-12455.142483212332	-12801.713132475774	-13225.043811940928	-13609.546335219295	-14192.950007072644	-14783.376772088675	-15199.877065117686	-15600.0
3.22	0.0	-228.27941594025708	-365.181537050504	-780.2784252206225	-1187.48554265366	-1543.2089085446814	-1965.2864764830833	-2313.8989280436053	-2711.537382725879	-3008.27919653773	-3397.4130172972764	-3912.1181846893373	-4358.5975070814775	-4736.476555110723	-5141.68206217192	-5578.296478819615	-5986.393729821913	-6374.432138219377	-6789.571380354048	-7197.1240050750985	-7568.160400275598	-7985.590971421839	-8348.437430171402	-8774.41369926364	-9124.28747649963	-9603.928032950553	-10016.290226706276	-10382.285009886471	-10822.284004564173	-11210.406225265551	-11617.78387314582	-12031.826370494024	-12431.219605391303	-12824.366466711243	-13238.000491202556	-13636.110513605283	-14174.047090427757	-14786.19813962184	-15197.421450942196	-15600.0
3.21	0.0	-213.73950748017714	-364.50346267049997	-761.1003346050541	-1203.4554441585876	-1528.1399611871748	-1877.369162325086	-2319.216319415721	-2742.8374018418185	-3014.5522375731925	-3446.994543256114	-3870.548831780208	-4312.058329984618	-4732.959293143704	-5162.302602451158	-5552.731503552759	-5953.8771170891305	-6343.581802023228	-6793.269311648744	-7150.677845636552	-7547.98590593967	-7971.849419826865	-8376.640051001756	-8759.272122058263	-9146.653528589417	-9541.351910132824	-9944.602751599272	-10354.789910881205	-10788.289482062024	-11242.531044966772	-11626.252306355815	-12045.215318148603	-12400.440966709408	-12834.409285215443	-13238.726728699905	-13632.130807829102	-14163.999698320522	-14774.02416032029	-15199.886909054163	-15600.0
3.2	0.0	-210.88980054031518	-342.9372621650916	-807.3547959784779	-1177.1931677431353	-1567.2990811344912	-1949.477972329135	-2298.840327930173	-2660.7964517143214	-3030.161377142283	-3476.4057432858085	-3907.4867388306943	-4338.453367225477	-4703.274282069971	-5179.923431327062	-5561.523403442589	-5975.255894872092	-6363.855114686198	-6766.161187847843	-7201.979455599342	-7601.428028100121	-7968.1908936843465	-8375.471584360288	-8725.695344738891	-9082.160504159945	-9503.290417474756	-9999.752149546011	-10369.500006311531	-10837.77015476651	-11242.883148076213	-11635.039657811963	-12052.283076575852	-12405.690435742314	-12828.885919877775	-13220.789457356186	-13628.912265661776	-14171.822872504856	-14781.639786498192	-15199.135773285241	-15600.0
3.19	0.0	-202.3700357158709	-353.24716923565353	-748.8582677362292	-1140.5372377488904	-1555.6450575326407	-1911.6444191662513	-2334.347380021284	-2669.5117259835542	-3001.223322840418	-3455.465149276809	-3920.7481902505256	-4336.327582678179	-4730.553785613225	-5185.682105921404	-5574.230953788568	-5962.310479591977	-6319.351866214655	-6743.898911605338	-7155.877716417005	-7607.329921550223	-7952.690846892403	-8336.930355118244	-8713.536109801276	-9135.2371726387	-9585.510970170795	-9978.199871782523	-10370.38187986147	-10798.917192337507	-11219.742271109499	-11637.175268312823	-12038.063711926563	-12419.381382919622	-12838.164985591386	-13228.807602202469	-13619.60779049824	-14187.212613507812	-14772.093549759526	-15199.722684717828	-15600.0
3.18	0.0	-197.33327641906374	-349.12351747076843	-750.0045630966868	-1159.944218367701	-1550.9277566102273	-1938.6383286266446	-2349.528968098669	-2741.6024249116117	-3032.070824595474	-3423.042934011433	-3895.584749633515	-4312.469784524598	-4740.313356256331	-5152.424826098186	-5521.236236674187	-5947.499086052622	-6344.581096589257	-6797.245810559834	-7205.752743104139	-7579.945311025925	-7992.890930201675	-8362.746270804031	-8745.992276165618	-9150.052681612251	-9582.030461099415	-10001.685654189989	-10373.575004745402	-10758.759723318979	-11205.739826514447	-11630.094758252568	-12030.976657841657	-12433.482156017411	-12827.377474770474	-13198.979807508842	-13605.379098722578	-14175.193262062172	-14776.823531969752	-15197.23528406968	-15600.0
