
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.577	Si0006_EDCs_0.522	Si0006_EDCs_0.467	Si0006_EDCs_0.412	Si0006_EDCs_0.357	Si0006_EDCs_0.302	Si0006_EDCs_0.247	Si0006_EDCs_0.192	Si0006_EDCs_0.137	Si0006_EDCs_0.082	Si0006_EDCs_0.027	Si0006_EDCs_-0.028	Si0006_EDCs_-0.083	Si0006_EDCs_-0.138	Si0006_EDCs_-0.193	Si0006_EDCs_-0.248	Si0006_EDCs_-0.303	Si0006_EDCs_-0.358	Si0006_EDCs_-0.413	Si0006_EDCs_-0.468	Si0006_EDCs_-0.523	Si0006_EDCs_-0.578
3.65	0.0	533.0104152643636	795.94176795111	911.9960883014621	888.8002277367548	791.3836530426139	767.6610392620715	833.2287294427497	805.301428065	770.3160294658483	754.9907184142942	749.7095173318978	748.129213158976	708.8959574096266	783.3378136702723	773.9025134005907	774.0143805967632	713.3625905743702	708.4089019960733	631.9959761601891	76.56138326857854	0.2828882543531753
3.64	0.0	553.048966947315	779.8248138467834	858.8286189287996	845.2904242199327	734.4886823930458	775.9777751404167	886.803999636401	860.2405205907536	809.5656858940433	824.0926693591687	770.3390915346486	744.7104120713938	692.7025806918981	796.1759186483747	804.8157197454179	829.8812032183965	775.5820825279822	734.3022356974716	649.8541376922602	81.60246931173248	0.021780670450161653
3.63	0.0	515.8159244012605	824.4381867641262	864.7805397331563	887.6820030437387	766.1629059198673	800.3948053604869	848.2609093163902	848.5551152078222	810.8161732043516	744.2532890318045	739.9497020710673	760.8148555745814	711.1371219633552	801.9854130347667	793.2103676780096	800.0547003523932	736.5387401655792	743.0841893355437	673.4154805345548	97.30319999281367	0.4438973898715885
3.62	0.0	500.2761271401725	808.2330561438837	904.7839506938491	814.7730677071075	766.5487060274994	780.2321648134431	806.3523364021598	760.8200684763469	755.1794141539616	734.1826624225366	785.3658930730484	751.076788294683	685.5868343776641	795.2589569971096	811.2753052287926	730.8587389209879	824.4244059039863	727.8523235912771	631.3392785783061	89.57277722317518	0.10083278375341574
3.61	0.0	521.464681782509	770.8726173818391	876.9455390520906	869.606204660348	745.8082564457249	752.60411588482	748.6558109273419	816.188232898226	774.6347341337079	712.6864234853042	756.7203595806774	722.3659966201826	730.0578417817879	825.1825326247241	764.8058929005841	756.0852822231719	744.0817644133492	731.5605141340972	634.2256400426243	71.39808320426607	0.19865772333270693
3.6	0.0	566.9266779289695	801.9528766149244	867.5406759458374	931.5846517260375	731.3903268653935	816.3663429089992	805.4649353236971	812.1432877273508	766.7143884207578	753.3885439660629	769.8498869925419	706.7078258667278	701.3522340599056	814.1661627836656	810.9740320674439	786.8968189234462	729.4473454043246	758.7646985834026	596.4948248913913	69.3541011996096	0.17091389282346323
3.59	0.0	546.0557906800259	755.2059203004552	906.246688210937	895.8038654436012	734.6288271132088	811.6873203238399	804.2274734963909	827.287295930666	741.6469097848543	771.9990850539032	764.8125672837476	672.0570528067517	729.7862286127294	870.4127967836861	694.463467172733	745.7491326458652	722.5273184671865	686.1560527781795	632.3266036936565	79.9577580147238	0.047875360978914094
3.58	0.0	534.4048485099165	790.0145683004752	904.6147286390319	875.2161326457	781.0045461796024	746.4220133279719	867.7966904279474	807.9652370492711	780.6516238539717	807.6082696408283	793.320573103411	754.8339786236412	724.072338261522	811.4896174416888	750.3074568254442	766.6100567826353	762.372297125032	683.8133727982494	606.906874650306	96.05702714208013	2.476901027034244
3.57	0.0	543.0954268241419	754.3338889168987	854.0040270992625	901.193750760479	816.2676558143711	855.050058825651	863.2111786676538	805.9765068172607	797.51850828641	737.8157136916384	786.7930778094212	700.9660712854899	739.0340645414103	835.8702875045273	752.9224456484376	713.553285491998	730.2409062441889	734.0596183677864	680.1188830982553	91.5120560743971	1.5601587284261696e-16
3.56	0.0	507.40703027300316	760.7024381555373	866.5260813044177	909.3456433102207	762.6338997081459	814.1817248162652	796.2872807538772	851.7863534938984	768.7822011073447	788.2884359028882	765.0723241369265	784.402320074361	726.2454173128494	836.5133600963409	794.8136770123131	766.466628031633	729.6043152751711	709.3279689873706	648.4416123324655	79.06942909910987	0.08227111228822215
3.55	0.0	581.5129152429598	796.9772270318153	817.0271372846861	909.3108396403895	782.5380192942554	793.2419401188562	816.1843802615925	778.5385552544853	715.9972955543388	721.1197793131819	782.0809210656723	741.0421073452567	685.4730066816065	813.6076003232998	768.3584666360803	783.4862949077744	720.100863450326	717.3057757430162	598.7231000585579	96.55415910075001	1.5667661315711756
3.54	0.0	567.4782934766577	825.972040830239	821.137210384506	943.1894320168151	751.0695618208736	849.9929310887467	830.1488980850557	794.2824520909176	790.3879043675928	777.9716856980205	769.350080095215	747.9507522022399	798.0398248871361	855.4699317819776	746.0555295819893	769.5798929371197	752.8642080163352	710.2717230926747	594.4577431935676	111.6895156258202	0.37985862893064515
3.53	0.0	549.753724843648	770.2975653961622	870.4385243549629	989.2312894916497	803.624308753401	762.0129561501752	833.2574268532408	810.748845213414	787.4516324560375	741.2795700784282	781.2783039302411	703.3053262912098	750.52844553814	828.8470372317802	759.1611119013077	792.1590543725181	685.3764889049154	680.5921251202494	627.2195506658572	89.60738364000619	2.0655444235499907
3.52	0.0	558.0875682457187	816.2985447866066	863.7364190660277	941.0041322989629	819.3625966804943	797.0336843990136	813.9283153770772	834.810719473317	753.9058581361086	784.7810849039249	780.7532794569527	736.4103389940905	731.1048894786659	797.7612343292457	761.5173713388881	787.4664495647531	748.6030320371606	679.8173479341391	609.825118742692	88.70067004427104	0.9601526461315182
3.51	0.0	538.8904822701652	809.592857139522	822.6746311871063	902.7730119544601	874.6830099834051	738.2701831647705	883.5686302142549	804.6563140868188	766.660942086658	827.9576339006065	743.9331626181341	733.3365722667488	719.7685078331426	850.6400471632123	750.8534036236593	778.0229065363359	751.5137308676981	660.4945064127277	637.2073259441582	107.99754320975883	0.33107891357839275
3.5	0.0	487.3897984421944	791.8943214085944	845.1327247259917	984.9894421421485	785.2747606770628	814.4720879587313	868.4417074547592	838.47779819779	796.8754383908968	758.484165405307	733.996753797591	739.0808978619236	750.3095272016907	843.2571293435302	790.3813829606747	770.0830640835363	761.6061391037218	694.1056513603635	647.5204732455709	96.35119218946033	2.3540843615716893
3.49	0.0	550.606215286344	755.5759184117874	852.7504753336817	931.9652574302245	808.7808127332216	795.1469576100438	848.016536645926	762.8676782989546	789.6277010971704	804.6700621927164	760.0336746606922	749.9885155417401	803.1947579635729	887.181456546223	825.8196399027717	785.7004530988805	687.9272591283046	664.791991059177	608.5056310987368	101.35040473311959	0.6085592152892971
3.48	0.0	571.3813356069262	767.2849183097528	853.6521268150067	959.5547719918591	867.6749710562375	768.080547553711	803.6593173943259	827.3003322347128	738.4557011008204	733.098568951682	708.5788724673547	745.3601320075489	787.4106330562892	817.1926372741524	819.420904548697	751.862634106157	670.9943306284068	675.3161055231092	644.966063589197	106.51646065019813	0.9239231841147874
3.47	0.0	498.02359003047667	802.0307015941007	780.8516401162918	955.7646700199608	788.5236402250205	810.468379339412	803.7548932150213	803.3851492593976	759.5299638521111	747.1420149139872	696.8429309534591	750.3485224428431	771.3698025336362	820.6030039087461	786.3080740728972	730.0567770228479	728.8127737566098	655.2033632631791	660.4052506885738	127.58400942967792	2.315644668589219
3.46	0.0	516.8420857879884	743.4736770676199	819.4146380747718	916.2690500854452	831.114700193306	793.4074622485114	826.0384740035433	798.6711745848563	749.3312796785901	706.5165630796107	764.9350450059545	676.7700473762272	731.8476766157619	855.0041298684257	839.936352836321	772.291118624336	659.1274186507324	680.7791120463502	630.2720392573602	108.31266876747803	0.0
3.45	0.0	550.7152859327994	747.4591540893936	805.2484767595109	967.6438114471167	882.0224399753798	811.2414664690903	866.2405996757418	756.1612420429473	799.6373613766136	728.6066507404746	735.119616577453	736.6324857240547	792.2346053466001	825.18271441528	807.3517793421757	758.8873441743165	675.8602081553813	702.4762542143501	669.5950166035382	98.55806084452382	0.0
3.44	0.0	569.4217008413755	748.5335938648924	821.2700945712393	974.3505750851589	821.2156409750233	778.657373207775	828.1737639131609	826.9086790537036	786.0225118110111	784.6278537239642	733.4460067611774	694.7833258125714	784.1141551395166	805.3429437801473	709.8742385603014	722.0613025334331	688.5677227589498	676.6605180172908	629.3510936885002	116.2481247044223	1.7467669946214026
3.43	0.0	602.1239960174377	714.54024848096	831.2945937484251	902.0967200132804	824.9877261766769	822.5599512921322	879.4908639833504	809.290744769125	777.640445761038	786.9224492425329	711.2382658589548	755.8100192314647	728.176685387666	837.6489774054627	699.5748214703966	725.9573868299959	712.222718418437	625.2733018970501	643.3992737387499	127.92650905473394	0.4070568294611789
3.42	0.0	525.5231065654046	743.0771864807189	775.0366856890768	919.1436166714276	821.1634638313534	821.6934994202227	743.2587368786453	824.4539487137461	752.4503685339465	722.6228337640799	687.9262161249233	710.8912519330829	815.7395957090806	809.9728139593449	753.5074578979044	696.833445922445	682.1432263306145	648.7562096467776	654.6010272695619	92.493890928715	0.6416471512145241
3.41	0.0	582.9990550626419	771.0193888917913	847.2663980355605	921.6817310860886	839.9015972078215	790.9328194881385	805.3802262250381	816.7345859201986	746.0606729259022	738.7557866389819	746.1310744533062	704.5430196842221	805.6523002141075	897.1014457486947	762.0042578361255	753.0410599539316	641.1597456208214	659.0701794250316	636.2143982018569	109.0677914948043	0.7445947340709417
3.4	0.0	559.3860712268305	759.524992582543	848.4186602117775	947.1046107313812	828.9471889192844	785.9360875214247	786.6610933748656	805.7926273546468	745.5893364521157	765.3905811014226	686.6827065193564	722.2061165824898	787.0188539447237	802.1779547494212	769.6923322220223	685.2232953248971	703.786040226288	663.8189439388855	651.4919373047235	128.5350328396714	1.9991636911931414
3.39	0.0	532.1729349963564	758.5275397605193	807.6408970306024	991.6983421532397	887.8452849160683	835.7663110669437	813.1015291619299	764.1631454454443	798.3378410234515	819.6518062229823	762.8312404147555	717.116017929486	732.3750417687822	781.0001573585846	751.316982155502	724.8426358929643	603.987536287234	695.3173037454925	619.9291486895157	117.69651553805805	0.3415372244689974
3.38	0.0	560.4702467454996	764.1363862218669	786.9826141109172	947.406066602261	872.1218933426035	794.2787047612334	771.1622283754127	810.236254693366	770.7212501277412	760.6550931579009	779.6630178324426	727.2961960978633	819.4623506543188	811.408443550145	730.0516365719997	727.5116411866626	628.7704531888621	662.3248936360538	654.1036751100395	102.34942823833968	1.1609371676877065
3.37	0.0	574.1174721205941	757.6315115418379	857.5221682146502	1010.1063720647977	903.2623452571684	865.1183068932501	863.4858095779744	785.2097326830693	751.6086344614582	710.3411708571962	694.7915747185359	741.9820929097593	805.0461473472001	874.771181609207	797.0283367716377	744.2392025276737	659.7248584247699	721.6812383112058	631.0188237959185	103.57186273219152	0.7130899545170083
3.36	0.0	586.4637998157716	704.5366124895351	882.8074568778719	937.6812176846479	892.3097823238849	818.3674643487361	785.1401091170449	828.5477726050681	839.2485069178558	743.8152969286425	716.5106833096692	775.2037725736641	780.9844585526907	847.2685788021407	762.4675748947552	706.2930231403521	688.9771518922607	642.7985029692039	691.3945858878702	118.46793556626396	0.0
3.35	0.0	564.6491927859436	747.6746854130744	823.871906464665	998.035369497749	875.2474244932667	823.6270967166798	795.7026314787028	787.5046631059552	777.1461870279943	791.6377252235985	710.9080613132571	758.115356407259	798.1254926204501	793.7365130158809	818.4917084494425	652.7623900426698	639.7857511033219	635.8576542316765	646.311782625573	114.53328620955143	1.6943475664211367
3.34	0.0	612.1195172762729	699.8354301325418	789.3848707452304	926.5631916189113	876.8466187168215	781.2033287367207	866.6355780781611	812.9425897375429	723.838525449389	758.5950074282448	684.030140516675	775.502298343838	761.3743376151396	797.7734968823559	805.0935838361681	764.9190746550889	694.0344807907267	592.3827949184156	633.4729423185587	138.552112401425	1.203332689255366e-16
3.33	0.0	557.5445312222896	714.2748807910369	794.7673585197628	948.5020402927479	872.6578627125676	845.9468069431834	896.5839405537712	842.8462139816621	786.7730672507508	754.7962113963487	720.4760737411474	756.5753921237351	852.3658483642627	828.1023515179162	734.639705639186	671.0800550280135	582.2251371551401	664.7498198428376	670.13344166953	123.70207558153108	0.10982400590795423
3.32	0.0	589.9008402681496	706.8454875203199	836.2646961370472	942.7386444980226	890.7691079157482	860.8110284022802	842.0835996998694	784.8527596420173	767.8408537104852	756.0768773587125	699.3834964252042	719.7461317577043	767.8510269552103	809.6681194695186	805.8948846513122	733.7506120920544	662.7852523085991	646.1761262020798	653.0898494510287	129.21115198161428	0.008741297796812238
3.31	0.0	590.2399817070341	744.2334287769852	802.5968404958869	966.1721963748856	920.2003596763951	879.0939128251265	817.541370017454	784.1992906659195	769.026697237007	769.5466383123622	736.4011488173159	733.9806577721293	825.4817050581322	813.381906508063	750.0841494782328	711.956041153494	614.996682310682	668.1391174554525	654.4484327776521	113.21431712022049	0.5888534470852809
3.3	0.0	563.0305071522629	711.5264921793179	813.5546668236376	914.0608159663504	969.5955583051832	839.1451746341198	807.96477704127	751.0070994625185	791.6476201340519	753.1750411405437	764.7214811296876	752.7740514617282	831.8659624572019	823.7220680361021	794.5773626346096	708.7448144984936	608.5270570289829	618.4636247153624	668.2698796238218	130.95106540540854	1.370824987654859
3.29	0.0	575.8154409423321	694.8765501123045	871.9158794611823	952.7689385306574	943.2195255762165	867.6720814258	832.2704001682274	803.2043330309798	765.55960896019	762.5900776092001	725.5443241671055	821.787241087755	816.7707915875922	839.8513923355549	786.9597880049105	730.7851273358393	619.257778117663	618.2836784700132	632.6566735340896	150.8399315241311	1.386101076803937
3.28	0.0	608.0406987916806	745.1784488195955	784.0743903054744	908.8837916632278	945.8151060817827	804.878348476349	794.3948810497596	739.4000470835953	758.0250678387731	777.199183909051	728.0432215628882	743.2365568540001	780.778130846335	800.7313156125125	785.9668960385858	707.0647942604758	658.4103715074425	641.6381305864762	609.4006004568174	154.2510388346203	0.5249854261524494
3.27	0.0	549.1993047280199	765.9187550678766	820.4329597713344	967.2344266943412	958.8107613372745	856.2729521228188	807.6259726092068	776.6138777825988	787.3546067316362	741.0640760302825	745.940562894143	737.8063286635796	823.0295287400992	829.4288062035627	731.0295797592554	633.6748123166617	645.4893685634684	658.4099986988361	715.3545832811114	181.00166537864	1.099963076863651
3.26	0.0	599.7509301870033	686.6030731155198	841.671630898215	971.151679295162	966.6165742713712	851.8522298183699	843.1894886675856	788.8818370405586	752.3335661290504	763.4052043108672	737.6673142024009	727.732162390528	805.7960615339157	800.9031798587605	779.0185772095073	713.0937525085202	581.7975115593897	639.261299012542	646.8597356447749	165.26075759763603	0.5488497742982251
3.25	0.0	591.6444095619439	701.6574492666756	789.4907593645473	899.5164020693501	968.003996681962	842.2422281164908	820.8715450308694	810.5024847769077	757.5505204014504	728.2325473353043	785.6012443842594	778.0645386855641	859.3330103753098	803.9141133030939	769.0612992162378	675.6925941299368	632.4730075689987	657.231489299098	714.9995247950444	150.71936016129933	0.04186641158730828
3.24	0.0	615.2056822362205	706.7674121545446	825.335621477875	904.3353977971766	963.1454408493322	890.9636632739727	837.1395628810183	798.1826990830981	815.3663330162638	773.1205980056387	710.5116553396721	742.6826417137256	826.8891421377838	780.9933357417937	754.717326183618	693.2279131298395	679.8702807257941	637.9172202994613	657.9550714269353	153.58441794606838	2.4403160723011137
3.23	0.0	668.4488786387035	772.4705886624647	814.231715146156	898.951096615656	935.8238946135009	890.2093617374965	813.1521146188092	847.0272229063723	757.441373193781	757.1398607712833	745.058418186376	725.8430105906741	819.292320691862	769.3321778025643	760.6906498376056	704.2087264184728	659.3370120120551	672.716906927687	623.6780766659366	158.26567063374605	1.2639052378263158
3.22	0.0	618.2809126731536	731.4235430552776	754.7877679188924	985.6550867438091	976.3148184000995	828.2493651889719	802.6587082831321	807.3482979144168	745.2049056578879	771.5215117129662	806.196182712176	756.1347365954484	838.3016073185814	811.3936259020666	743.2770280125684	652.0800361232082	660.0596574243558	639.5382583269361	671.4362414946271	158.33852483277104	2.028602432401409
3.21	0.0	650.5288686915504	763.513335847471	830.0803982053894	981.3116257056465	1021.5676515622703	852.8977518472494	816.3693449806859	818.2641223154403	737.4380567176784	716.6485555172891	708.344642255346	768.2666435824077	830.9160627688975	791.8545580300745	792.2826270549031	676.8896286644178	580.5632416617707	614.4664663403032	688.2822381301842	162.3470746951371	4.061860647537471
3.2	0.0	591.753909008388	744.6938379244791	802.7702248491191	916.5076440693105	957.8684116209682	800.3462727264142	789.5160910637634	826.1645009741869	794.4279952000211	723.4394497644497	759.5575025879621	725.2521449443469	860.9892204726182	774.3116825614946	703.4706698142392	674.8579315192115	647.3033302284576	678.9863568913048	695.9679702030742	164.25908392720353	3.3629352975504148
3.19	0.0	648.3443215879253	758.3907974452245	804.3964946645094	891.6167638907278	932.6841748384983	836.9231442136928	784.389150504256	788.4586763445626	761.3816467554334	765.7138011490292	713.0449878651199	766.6259111035179	819.3700353879744	756.9057787377594	740.3614742791831	677.7439977298379	657.3437118522996	620.7891550195238	692.8488226701728	178.57775316681608	0.0
3.18	0.0	720.9534700155714	752.9509143900467	759.3927628207522	882.0682918767806	951.0372412900709	876.1116296400662	838.791237927229	776.2200355064758	825.5600748882765	785.2723972466799	733.4049847341016	724.0392314117001	819.1537969980166	775.340844798952	779.2899549812402	692.6097485840487	656.2694982931949	658.820471051314	693.8739329836803	170.59943006283262	0.9640198580569257
3.17	0.0	670.0638294090181	730.7808524665462	759.5821324060588	893.8480272795827	990.2815595932	899.618482114106	825.6072195468894	822.4225843797449	714.76545753641	723.9854929614978	748.827956953326	753.8297653147793	812.8042759420123	827.3212325641664	770.3103786835778	669.414382548738	649.8645851725005	654.67718441065	697.550973367993	177.64032866529863	0.956532902523041
3.16	0.0	618.6627323673799	746.6919170674154	750.5239248706627	874.1594098873511	1004.0700505321048	864.9299288805681	809.3821335459103	784.6683066484471	700.56440248429	802.3243814382187	735.1960716804934	708.2152086429111	863.9903952759937	760.0331215068604	784.6044065241695	626.9234604653116	680.7657645874981	695.1089485597819	691.8314745026147	155.59969791120017	0.06077417149867805
3.15	0.0	672.7237384239108	726.4149466006799	794.5828063017668	879.2881613313015	979.078531893521	858.0886170630528	807.2273628904911	751.873072597131	773.1667617223334	747.2038599456199	783.5749389017824	753.9006471679459	867.2394563244246	746.2964426973523	671.1138032570891	646.3861789626737	641.9590530657748	665.6189700624382	678.1987237120387	191.07378229797567	0.7884242404731541
3.14	0.0	646.326329548845	740.9681725134546	856.3110609467076	881.9545987268291	989.1090480789671	848.4164038704104	903.0933806577629	746.9433833324154	777.2480465225212	727.7945164385843	786.1117428958389	815.7814260641699	862.2389518694227	734.9970400099228	753.0045904661009	713.4086823000912	582.6675906193528	616.2008766572352	636.6570890486424	196.7564758031839	0.6962561870505563
3.13	0.0	746.9775502323192	714.6841074909535	794.0780068851574	926.0441775809933	1061.7169886031877	872.8878878612227	792.5898759444547	815.3088346134468	783.2421825579702	781.9723350424389	759.0466985732892	811.1620013691629	837.0417879144193	755.9446028204145	758.1381731025745	664.4049911362246	637.0799891193878	647.2878199996908	699.5365295786837	177.67917468705213	0.7160446904779868
3.12	0.0	679.1169027920653	695.0802045271972	801.8232880241891	869.8633534451409	999.8961655202044	860.0469490540021	797.5687715454152	832.7016099568258	709.7804009272121	741.9759625298112	710.0520089720849	796.5491969516014	834.6251092264155	754.7411320238805	742.8205957077193	664.488204517349	640.9335028526198	673.7243750813467	676.218812969114	173.59484781698566	0.1262031257714211
3.11	0.0	693.268084563304	755.8144745258813	793.2960132291022	854.2298554612505	1046.6496859237232	882.5671312371695	805.5005061979846	763.8106581114231	750.7699613410971	719.452148619168	726.7161528464636	788.4826026700316	810.8280410797985	695.8383840990098	703.9436860778465	683.1995675643069	652.5804482099022	658.2733836871912	654.4079870666676	183.03808641497756	2.653974776648133
3.1	0.0	724.5696821505217	738.0433861403716	885.8915502021588	819.7845842282941	1020.2380241571753	915.8092765399113	838.2086350841128	775.6313485831447	809.4464383609567	750.772138795563	798.3032881595927	752.7299060826158	800.9310397738067	811.9833732025321	767.2966863968893	655.617589393581	653.3584201091384	678.1821993780869	637.9979818960418	197.2842514147958	0.34565696112199834
3.09	0.0	727.4455062657358	720.7126154373948	792.3573276492413	921.0184940883602	983.270137354225	867.0350091731702	838.0785341827279	752.5148915510699	760.5979530415361	746.0388440745203	731.5408625813268	766.7474270262815	903.3587571578881	773.4104421389171	709.982217684846	648.3172638852296	626.2307869763623	691.6510124647762	657.0008210278904	191.39325299918042	1.1285809644855678
3.08	0.0	728.5661644413549	826.406467662038	836.747602262282	875.9397527119808	1030.8849327714536	865.9657224499335	798.305860530387	751.4819107256324	826.179065035112	802.4205901524705	743.5982101103868	835.4495301392773	814.1036106412628	748.5624165853695	732.0721686628796	671.2640631699412	677.5810310026787	644.648577035006	658.0672195727338	184.91861491006597	0.5692527292532777
3.07	0.0	739.9419432218878	809.19465365684	794.8320230465147	805.0767669462429	1020.9144424120614	891.0201440567552	816.7631451765308	820.4748893206901	802.9092583890983	700.652778382108	748.8848221140337	766.9044652476582	788.0814536161047	724.9329106104943	768.8582190460855	688.3496507661555	648.0458448742477	664.7699889336469	704.7336442465388	195.95082895445537	3.054658803082503
3.06	0.0	760.8001919314352	731.9622985447609	810.5103875156726	877.8615638536963	922.1414973072718	889.2634846310292	809.4758303211862	754.6651192781331	740.891260183186	702.2607317485681	740.4857246755931	796.5561233286542	791.5436522142076	776.7227845461662	756.9780399981097	665.1327469289706	669.8323710680505	654.1629588134756	683.3249164512474	203.8372543821651	2.2744906546129595
3.05	0.0	743.9932884754517	752.7765246845705	857.1950432642674	808.6727472122002	1025.296783253856	839.1066593389	840.4272009975713	800.7795672126446	801.7700628075693	736.5052271370391	673.1202020860059	751.7633837946178	767.4045702541712	776.4733749649063	748.9022530619683	617.9419950872438	606.3930081674986	664.2948899810613	669.0880776622246	172.42612586747313	2.091603755391989
3.04	0.0	744.9506913632438	768.9707885493374	798.8790110688224	887.4443348555592	1047.6804651793277	873.6162016957368	781.826897832438	734.6674687171098	781.5587723415938	758.0087758711437	689.1354017621838	763.3755736311626	811.079860938816	812.2389726577436	704.9938912381673	677.3524351891208	623.5849764276695	719.0273215827157	659.9267332574142	195.87340518820938	1.68408428788204
3.03	0.0	776.2496917273344	785.9804893665485	818.8192385469089	854.9942448478278	1033.7423114986893	934.5776972458823	752.9760916467404	757.3839454029425	807.2473119525943	736.4146650712303	724.7889927676115	777.0864746088831	834.8422074993015	776.3838871054218	692.7366230611441	691.0813682662126	683.844123569653	713.1058677981903	697.3415981869091	197.56338042714296	0.5206567188205755
3.02	0.0	757.0450153112877	796.7324362800855	774.8185263766543	800.9725537131236	1028.9509842016716	908.141056284728	857.9500794723468	700.9947486071748	826.555367626794	729.1367042264454	742.7058119734642	766.9965612251693	766.9815274341069	748.6911829610826	711.6182925900974	688.499442675134	683.2104289458606	693.8295704858779	687.1533468568911	235.24905219043038	0.04047088825509507
3.01	0.0	775.7916493265703	859.1593966577763	793.0250968949692	842.9472481814786	1051.7723666254522	935.6809081852912	788.9601537478153	789.180820206413	750.9335462264276	733.4878343762664	725.139138445355	787.3222893229869	776.0874287236272	765.4698171029532	729.752592938469	719.0829182643232	708.3109384515482	709.9890223224666	688.0281947736019	195.25271457206372	0.04145535018572388
3.0	0.0	819.3748375418107	861.1295582674433	874.0962703161692	831.5737637590095	1051.449221488567	850.8814451925089	817.4723021202409	831.6712092235797	753.967798035569	712.7378312736303	744.3014302310527	752.6135809160374	806.8404419984671	741.9319494719407	804.454001107524	732.5813223174981	655.0821196535813	633.1040314734388	685.3028206024208	183.86769347903996	1.916239760852635
2.99	0.0	843.7688317023002	799.2266003757022	864.4377560997568	843.658802191829	990.3728216892725	933.3766998662061	802.1742130560658	792.2229793721563	782.8678172742792	766.610966548199	739.9720964130651	760.6031702835323	793.2700045679818	743.7110105306425	746.7093752414775	629.203511868747	684.6336985987243	659.9347967087276	719.0037643508352	219.04094978111814	3.416099322305276
2.98	0.0	766.5836881093064	837.6621157873792	808.6526150681593	827.1326460851946	1000.8323430824569	875.8648258797897	798.885929526272	753.815273654144	810.1438918128564	714.3095280312492	708.4155587455909	753.0045727520796	776.7143524623845	748.7638977282784	718.0098381574106	659.4661579700693	690.0447792140195	661.5211704813898	673.0662574941887	242.0754512316824	3.5828100546825294
2.97	0.0	785.4403682289416	884.2686596924602	765.3874411176108	851.4059296457243	1013.1502072292575	907.9279840734099	871.797883324265	750.4765122941222	828.1034138167958	689.1354768472745	741.4274487062222	740.2038737380855	821.1245620531073	751.4900830168136	744.3124855030798	762.3213103797989	735.7921669908189	660.4202222247095	682.412814035756	202.5989405473847	1.6805529857509554
2.96	0.0	838.4552911025473	855.8071504309937	786.2670360287602	839.351477107312	1020.8728954929685	937.0807620030831	877.8669192271942	788.3479209740551	756.5636606520252	749.9137891906898	702.0569664896767	730.2418906607836	779.2706480977897	725.3918659165445	675.6709818462465	670.205710411622	691.3006811410116	630.50208372662	710.042650760056	229.81457586737776	3.04957477220268
2.95	0.0	858.8209915530136	883.8595033055302	785.331703959696	829.1691417675718	1017.6455487745316	934.1595524418955	866.8781814562815	730.1594448802969	789.3412646304092	731.9421774385637	740.3862096660912	746.3508292366026	770.6071766667473	756.4760662125158	793.6163958411022	715.0609372159813	758.2619368127679	609.9271992503176	705.3822883303634	238.11406496756337	2.6558350933273576
2.94	0.0	861.9365879623668	973.553783335944	812.8586027665174	789.096541821301	970.7193864054393	899.8262442271914	810.1991236467321	753.170548080544	739.4868986936701	727.2382258082964	725.296535172656	789.4472308933811	750.3019144035763	762.9340496964118	739.7965390761368	696.4928651638828	725.3660104165136	670.0872105011185	694.4190458837662	212.90961477668847	1.0033355316666424
2.93	0.0	831.1841005926965	856.5608042436229	864.7918758162575	828.2061577150997	953.722095766681	952.3597525976759	820.2402789299185	801.4489563034222	748.697957519494	706.9448710432098	738.8623905019458	813.0142737385315	789.6559902242458	768.9580236698821	706.0654914963927	689.3736031112644	727.1490316896849	689.17198230795	677.685507192884	191.79794098206784	2.431283388736817
2.92	26.41727481348581	870.5253068880755	824.8225910758034	853.7276146889955	879.5692576199535	956.0536310037646	915.000641800322	857.7214564736466	774.6014538009347	740.647024982056	667.7905097416228	736.342669881092	799.8001613769977	786.9577281954818	739.797096306677	751.5307636132246	665.86014190798	725.1738362574687	656.4678331667093	656.5593332801043	216.06546970270176	3.2706761356776277
